delta	lambda	item	intercept	depth	embBias	embBias_Two	embBias_Three	compatible	compatible_Two	compatible_Three	compatible:EmbBias
0.05	0	Item232_Critical_3	59.147	-0.056	-0.057	-0.1285	0.0145	-0.283	-0.264	-0.302	-0.139
0.05	0	Item232_Critical_30	58.978	-0.462	-0.04	-0.023	-0.057	-0.179	-0.358	0.0	0.003
0.05	0	Item232_Critical_4	59.057	-0.056	-0.035	0.0595	-0.1295	-0.283	-0.264	-0.302	0.074
0.05	0	Item232_Critical_5	59.276	-0.113	-0.008	0.01	-0.026	-0.132	-0.1885	-0.0755	0.012
0.05	0	Item232_Critical_6	59.125	-0.207	-0.014	0.0975	-0.1255	0.038	0.1325	-0.0565	-0.253
0.05	0	Item232_Critical_7	59.121	-0.273	-0.067	0.1025	-0.2365	-0.009	-0.075	0.057	-0.007
0.05	0	Item232_Critical_8	58.993	0.217	0.037	0.279	-0.205	0.217	0.585	-0.151	-0.319
0.05	0	Item232_Critical_9	59.098	0.01	-0.005	0.044	-0.054	0.047	-0.189	0.283	-0.271
0.05	0	Item238_Critical_VAdv1	-100.0	-0.207	0.0	-0.021	0.021	397.943	nan	nan	0.087
0.05	0	Item238_Critical_VN1	59.238	-0.019	0.038	0.0165	0.0595	0.094	-0.038	0.226	-0.081
0.05	0	Item238_Critical_VN2	59.087	0.132	0.17	0.2575	0.0825	0.434	0.566	0.302	-0.274
0.05	0	Item238_Critical_VN3	59.155	0.019	-0.043	-0.1115	0.0255	0.019	0.2455	-0.2075	0.21
0.05	0	Item238_Critical_VN5	59.204	0.047	0.019	0.032	0.006	-0.236	-0.3775	-0.0945	-0.019
0.05	0	Item238_Critical_Vadv1	-100.0	-0.037	0.0	-0.005	0.005	-398.189	nan	nan	0.154
0.05	0	Item238_Critical_Vadv2	59.079	0.151	-0.115	-0.219	-0.011	0.0	-0.151	0.151	-0.059
0.05	0	Item238_Critical_Vadv3	59.14	-0.32	-0.017	-0.017	-0.017	-0.358	-0.1695	-0.5465	0.062
0.05	0	Item238_Critical_Vadv5	59.208	0.095	0.022	-0.04	0.084	0.019	0.2265	-0.1885	0.153
0.05	0	Item238_Critical_Vadv6	59.121	-0.047	-0.021	-0.0455	0.0035	-0.217	-0.151	-0.283	-0.054
0.05	0	Item238_Critical_Vadv7	59.053	0.217	-0.03	0.0065	-0.0665	-0.217	-0.283	-0.151	-0.213
0.05	0	Item238_Critical_Vadv8	59.147	0.0	0.027	0.172	-0.118	-0.17	-0.019	-0.321	-0.294
0.05	0	Item238_Critical_Vadv9	59.223	-0.188	0.009	-0.0185	0.0365	0.17	0.057	0.283	0.061
0.05	0	ItemCritical_6	59.208	-0.019	-0.006	-0.0545	0.0425	-0.226	-0.3015	-0.1505	-0.012
0.05	0.25	Item232_Critical_0	59.226	-0.085	0.005	-0.0135	0.0235	0.085	0.2265	-0.0565	-0.053
0.05	0.25	Item232_Critical_1	59.294	-0.009	0.021	0.041	0.001	-0.028	0.057	-0.113	-0.046
0.05	0.25	Item232_Critical_10	59.272	-0.236	-0.001	0.0	-0.002	0.217	0.0755	0.3585	-0.076
0.05	0.25	Item232_Critical_11	59.298	-0.113	-0.025	-0.0575	0.0075	-0.038	0.0185	-0.0945	-0.028
0.05	0.25	Item232_Critical_12	59.23	-0.151	-0.017	-0.051	0.017	-0.283	-0.2265	-0.3395	-0.047
0.05	0.25	Item232_Critical_13	59.257	-0.349	0.094	-0.0485	0.2365	-0.047	0.1135	-0.2075	0.178
0.05	0.25	Item232_Critical_14	59.223	0.019	0.076	0.23	-0.078	0.113	0.3395	-0.1135	-0.293
0.05	0.25	Item232_Critical_15	59.215	-0.132	0.007	0.092	-0.078	0.094	-0.057	0.245	0.166
0.05	0.25	Item232_Critical_16	59.302	-0.009	-0.044	-0.003	-0.085	0.123	0.076	0.17	0.088
0.05	0.25	Item232_Critical_17	59.321	0.019	0.012	0.015	0.009	0.132	0.3585	-0.0945	-0.035
0.05	0.25	Item232_Critical_18	59.343	0.019	0.022	0.029	0.015	-0.019	-0.038	0.0	0.077
0.05	0.25	Item232_Critical_19	59.242	-0.255	-0.047	-0.0675	-0.0265	0.047	-0.132	0.226	0.029
0.05	0.25	Item232_Critical_2	59.332	-0.009	0.012	-0.025	0.049	0.141	0.188	0.094	0.202
0.05	0.25	Item232_Critical_20	59.245	-0.283	0.008	0.0255	-0.0095	-0.189	-0.019	-0.359	-0.032
0.05	0.25	Item232_Critical_21	59.268	-0.057	0.047	0.0505	0.0435	-0.019	0.0375	-0.0755	0.119
0.05	0.25	Item232_Critical_23	59.26	0.113	-0.013	0.0	-0.026	0.132	0.264	0.0	-0.022
0.05	0.25	Item232_Critical_24	59.23	-0.264	-0.053	-0.0265	-0.0795	0.151	-0.0375	0.3395	0.045
0.05	0.25	Item232_Critical_25	59.317	-0.028	0.017	0.01	0.024	-0.028	-0.0565	0.0005	-0.049
0.05	0.25	Item232_Critical_26	59.321	-0.075	0.03	0.0235	0.0365	-0.075	-0.075	-0.075	-0.032
0.05	0.25	Item232_Critical_27	59.264	-0.066	0.013	-0.02	0.046	0.066	-0.038	0.17	-0.101
0.05	0.25	Item232_Critical_28	59.298	0.132	0.014	0.0365	-0.0085	-0.038	-0.151	0.075	0.069
0.05	0.25	Item232_Critical_3	59.291	-0.038	-0.04	-0.089	0.009	0.113	0.1885	0.0375	0.065
0.05	0.25	Item232_Critical_30	59.253	-0.132	-0.023	-0.0885	0.0425	-0.038	-0.2265	0.1505	-0.118
0.05	0.25	Item232_Critical_4	59.291	-0.189	0.03	-0.007	0.067	0.113	-0.038	0.264	-0.174
0.05	0.25	Item232_Critical_5	59.291	-0.151	0.018	-0.0015	0.0375	0.132	0.0	0.264	-0.047
0.05	0.25	Item232_Critical_6	59.306	-0.038	0.002	-0.0075	0.0115	0.019	0.0	0.038	0.045
0.05	0.25	Item232_Critical_7	59.275	0.057	-0.051	-0.097	-0.005	-0.113	-0.2075	-0.0185	0.021
0.05	0.25	Item232_Critical_8	59.328	-0.057	-0.027	0.046	-0.1	-0.113	0.0	-0.226	-0.062
0.05	0.25	Item232_Critical_9	59.283	-0.019	0.005	0.0085	0.0015	-0.038	-0.1135	0.0375	0.063
0.05	0.25	Item238_Critical_VAdv1	-100.0	-0.075	0.0	-0.0385	0.0385	398.264	nan	nan	0.035
0.05	0.25	Item238_Critical_VN1	59.226	-0.066	-0.026	0.0425	-0.0945	-0.104	-0.019	-0.189	-0.178
0.05	0.25	Item238_Critical_VN2	59.298	0.0	-0.061	-0.0645	-0.0575	0.038	0.2835	-0.2075	-0.027
0.05	0.25	Item238_Critical_VN3	59.215	-0.151	0.002	0.04	-0.036	0.151	0.038	0.264	0.014
0.05	0.25	Item238_Critical_VN5	59.336	-0.264	0.024	0.036	0.012	0.132	0.0375	0.2265	0.054
0.05	0.25	Item238_Critical_Vadv1	-100.0	-0.038	0.0	0.027	-0.027	-398.189	nan	nan	-0.001
0.05	0.25	Item238_Critical_Vadv2	59.113	0.066	-0.027	-0.0905	0.0365	-0.085	-0.019	-0.151	-0.003
0.05	0.25	Item238_Critical_Vadv3	59.321	-0.113	-0.015	-0.007	-0.023	-0.038	-0.1135	0.0375	0.019
0.05	0.25	Item238_Critical_Vadv5	59.287	0.009	0.026	0.0425	0.0095	-0.009	-0.0185	0.0005	-0.048
0.05	0.25	Item238_Critical_Vadv6	59.17	-0.075	-0.014	0.0035	-0.0315	-0.075	0.0005	-0.1505	-0.035
0.05	0.25	Item238_Critical_Vadv7	59.174	0.085	-0.016	-0.0475	0.0155	-0.066	-0.151	0.019	-0.04
0.05	0.25	Item238_Critical_Vadv8	59.215	0.189	0.021	-0.0145	0.0565	0.226	0.4145	0.0375	0.029
0.05	0.25	Item238_Critical_Vadv9	59.343	-0.151	0.023	0.0335	0.0125	-0.094	-0.1315	-0.0565	-0.004
0.05	0.25	ItemCritical_6	59.162	-0.434	0.041	-0.013	0.095	0.057	0.076	0.038	-0.294
0.05	0.25	ItemMixed_1	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.25	ItemMixed_11	59.26	0.057	0.002	-0.033	0.037	-0.075	-0.094	-0.056	0.003
0.05	0.25	ItemMixed_12	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.25	ItemMixed_13	59.196	-0.198	0.064	0.0475	0.0805	0.009	0.0375	-0.0195	-0.07
0.05	0.25	ItemMixed_14	59.26	-0.057	-0.012	-0.0165	-0.0075	-0.057	-0.0945	-0.0195	-0.01
0.05	0.25	ItemMixed_15	59.245	0.113	0.0	-0.0005	0.0005	0.019	0.0	0.038	0.002
0.05	0.25	ItemMixed_16	59.143	0.009	-0.007	0.0665	-0.0805	0.009	0.1505	-0.1325	-0.147
0.05	0.25	ItemMixed_17	59.158	0.066	0.03	0.086	-0.026	0.198	0.245	0.151	-0.085
0.05	0.25	ItemMixed_18	59.245	-0.075	0.017	0.021	0.013	-0.151	-0.1135	-0.1885	-0.065
0.05	0.25	ItemMixed_19	59.283	0.057	-0.005	-0.0125	0.0025	0.075	0.1125	0.0375	-0.003
0.05	0.25	ItemMixed_2	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.25	ItemMixed_21	59.279	-0.066	-0.028	-0.064	0.008	0.028	0.0375	0.0185	0.003
0.05	0.25	ItemMixed_22	59.23	-0.075	-0.003	0.065	-0.071	0.0	0.0	0.0	0.159
0.05	0.25	ItemMixed_23	59.268	-0.038	0.02	0.02	0.02	-0.038	-0.019	-0.057	0.008
0.05	0.25	ItemMixed_24	59.223	-0.019	0.0	-0.0525	0.0525	-0.019	-0.1135	0.0755	-0.125
0.05	0.25	ItemMixed_25	59.215	-0.038	-0.022	-0.0705	0.0265	-0.019	0.151	-0.189	0.065
0.05	0.25	ItemMixed_26	59.189	-0.123	0.001	0.0025	-0.0005	0.047	-0.2075	0.3015	-0.043
0.05	0.25	ItemMixed_27	59.264	-0.104	-0.064	-0.0145	-0.1135	-0.028	0.1135	-0.1695	-0.14
0.05	0.25	ItemMixed_28	59.287	0.009	-0.022	-0.024	-0.02	0.009	0.0185	-0.0005	0.008
0.05	0.25	ItemMixed_29	59.238	-0.057	-0.037	0.0075	-0.0815	-0.057	-0.0005	-0.1135	-0.014
0.05	0.25	ItemMixed_3	59.204	0.009	0.0	0.0005	-0.0005	-0.009	0.0005	-0.0185	0.001
0.05	0.25	ItemMixed_30	59.313	-0.038	-0.028	-0.0685	0.0125	-0.019	-0.019	-0.019	-0.02
0.05	0.25	ItemMixed_31	59.298	-0.019	0.008	0.0455	-0.0295	-0.038	-0.0005	-0.0755	0.015
0.05	0.25	ItemMixed_32	59.268	-0.019	0.02	-0.0265	0.0665	0.132	0.113	0.151	-0.097
0.05	0.25	ItemMixed_33	59.223	0.0	0.028	0.083	-0.027	-0.057	-0.057	-0.057	0.146
0.05	0.25	ItemMixed_34	59.23	0.075	0.007	-0.002	0.016	-0.019	0.0	-0.038	0.03
0.05	0.25	ItemMixed_35	59.234	-0.009	0.006	0.003	0.009	-0.085	-0.0945	-0.0755	-0.014
0.05	0.25	ItemMixed_36	59.226	0.009	0.006	0.03	-0.018	-0.066	-0.0565	-0.0755	-0.014
0.05	0.25	ItemMixed_37	59.196	-0.009	0.043	-0.0105	0.0965	-0.066	0.0	-0.132	0.066
0.05	0.25	ItemMixed_38	59.204	0.009	0.005	-0.0015	0.0115	0.009	-0.0005	0.0185	0.013
0.05	0.25	ItemMixed_39	59.204	0.009	0.003	-0.001	0.007	-0.009	0.0005	-0.0185	-0.008
0.05	0.25	ItemMixed_4	59.264	0.028	0.001	-0.04	0.042	0.085	0.17	0.0	0.046
0.05	0.25	ItemMixed_40	59.17	0.075	0.012	0.027	-0.003	-0.075	-0.1505	0.0005	0.03
0.05	0.25	ItemMixed_41	59.196	0.009	0.02	0.032	0.008	0.104	0.0945	0.1135	-0.1
0.05	0.25	ItemMixed_42	59.174	0.066	-0.018	-0.0405	0.0045	0.066	0.132	0.0	0.045
0.05	0.25	ItemMixed_43	59.17	-0.17	0.033	-0.0315	0.0975	-0.132	0.0945	-0.3585	0.112
0.05	0.25	ItemMixed_5	59.204	0.009	0.002	-0.0005	0.0045	0.009	-0.0005	0.0185	0.005
0.05	0.25	ItemMixed_6	59.268	0.057	0.046	0.117	-0.025	-0.057	-0.189	0.075	0.216
0.05	0.25	ItemMixed_7	59.245	-0.113	-0.024	-0.0325	-0.0155	-0.113	0.038	-0.264	0.008
0.05	0.25	ItemMixed_8	59.253	0.132	-0.011	0.0025	-0.0245	0.038	0.0005	0.0755	0.023
0.05	0.25	ItemMixed_9	59.204	-0.16	-0.082	-0.0095	-0.1545	-0.274	-0.2835	-0.2645	-0.183
0.05	0.5	Item232_Critical_0	59.17	-0.076	0.056	-0.0145	0.1265	-0.076	-0.0005	-0.1515	0.141
0.05	0.5	Item232_Critical_1	59.189	-0.029	-0.008	0.002	-0.018	0.028	-0.0005	0.0565	0.019
0.05	0.5	Item232_Critical_10	59.117	-0.246	0.059	-0.006	0.124	0.094	0.037	0.151	-0.235
0.05	0.5	Item232_Critical_11	59.155	-0.114	-0.046	0.011	-0.103	-0.019	-0.0005	-0.0375	0.058
0.05	0.5	Item232_Critical_12	59.204	0.009	0.001	-0.001	0.003	-0.01	-0.0005	-0.0195	-0.005
0.05	0.5	Item232_Critical_13	59.189	-0.029	-0.018	0.0035	-0.0395	0.028	-0.0005	0.0565	0.042
0.05	0.5	Item232_Critical_14	59.17	-0.076	0.009	-0.003	0.021	-0.076	-0.0005	-0.1515	0.024
0.05	0.5	Item232_Critical_15	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.5	Item232_Critical_16	59.136	-0.066	0.017	0.0085	0.0255	-0.161	-0.095	-0.227	0.043
0.05	0.5	Item232_Critical_17	59.117	-0.057	-0.025	0.034	-0.084	0.056	0.15	-0.038	0.041
0.05	0.5	Item232_Critical_18	59.11	0.075	0.018	0.077	-0.041	0.075	0.301	-0.151	-0.118
0.05	0.5	Item232_Critical_19	59.11	-0.227	0.014	-0.004	0.032	0.226	-0.0005	0.4525	-0.037
0.05	0.5	Item232_Critical_2	59.182	-0.048	0.012	-0.003	0.027	0.084	-0.001	0.169	-0.013
0.05	0.5	Item232_Critical_20	59.11	-0.227	0.007	-0.0015	0.0155	0.075	-0.0005	0.1505	0.023
0.05	0.5	Item232_Critical_21	59.144	-0.142	-0.013	0.003	-0.029	0.009	-0.0005	0.0185	0.099
0.05	0.5	Item232_Critical_23	59.204	0.009	-0.004	0.001	-0.009	-0.01	-0.0005	-0.0195	0.009
0.05	0.5	Item232_Critical_24	59.117	-0.095	0.029	-0.0785	0.1365	-0.208	-0.114	-0.302	0.074
0.05	0.5	Item232_Critical_25	59.17	-0.076	-0.014	0.0035	-0.0315	0.075	-0.0005	0.1505	0.034
0.05	0.5	Item232_Critical_26	59.14	-0.151	0.014	-0.0045	0.0325	-0.151	0.0	-0.302	0.037
0.05	0.5	Item232_Critical_27	59.148	-0.133	-0.022	0.0055	-0.0495	0.0	0.0	0.0	-0.018
0.05	0.5	Item232_Critical_28	59.151	-0.123	0.008	-0.003	0.019	0.141	-0.0005	0.2825	-0.035
0.05	0.5	Item232_Critical_3	59.11	-0.076	0.037	0.009	0.065	0.226	0.1505	0.3015	-0.095
0.05	0.5	Item232_Critical_30	59.144	0.009	-0.02	-0.012	-0.028	-0.142	-0.1515	-0.1325	-0.049
0.05	0.5	Item232_Critical_4	59.144	-0.142	0.038	-0.0095	0.0855	-0.142	-0.0005	-0.2835	0.095
0.05	0.5	Item232_Critical_5	59.14	0.0	-0.01	0.0455	-0.0655	0.0	-0.151	0.151	0.111
0.05	0.5	Item232_Critical_6	59.182	-0.048	-0.013	0.003	-0.029	-0.048	-0.001	-0.095	-0.032
0.05	0.5	Item232_Critical_7	59.14	0.0	-0.026	0.035	-0.087	0.0	-0.151	0.151	0.121
0.05	0.5	Item232_Critical_8	59.114	-0.085	0.068	-0.0255	0.1615	0.217	0.132	0.302	-0.17
0.05	0.5	Item232_Critical_9	59.17	-0.076	0.012	-0.003	0.027	-0.076	-0.0005	-0.1515	0.03
0.05	0.5	Item238_Critical_VAdv1	-100.0	0.037	0.0	0.052	-0.052	397.849	nan	nan	-0.104
0.05	0.5	Item238_Critical_VN1	59.136	-0.161	-0.03	0.007	-0.067	0.141	-0.0005	0.2825	0.043
0.05	0.5	Item238_Critical_VN2	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.5	Item238_Critical_VN3	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.5	Item238_Critical_VN5	59.144	-0.142	-0.036	0.0085	-0.0805	-0.142	-0.0005	-0.2835	-0.089
0.05	0.5	Item238_Critical_Vadv1	-100.0	-0.189	0.0	0.0	0.0	-398.0	nan	nan	0.0
0.05	0.5	Item238_Critical_Vadv2	59.17	-0.076	-0.03	0.0075	-0.0675	0.075	-0.0005	0.1505	0.074
0.05	0.5	Item238_Critical_Vadv3	59.178	-0.057	0.01	-0.0025	0.0225	0.094	-0.0005	0.1885	-0.044
0.05	0.5	Item238_Critical_Vadv5	59.14	0.0	0.082	0.044	0.12	-0.151	-0.151	-0.151	0.205
0.05	0.5	Item238_Critical_Vadv6	59.17	-0.076	-0.004	0.0	-0.008	-0.076	-0.0005	-0.1515	-0.008
0.05	0.5	Item238_Critical_Vadv7	59.144	-0.142	-0.064	0.0155	-0.1435	-0.142	-0.0005	-0.2835	-0.159
0.05	0.5	Item238_Critical_Vadv8	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.5	Item238_Critical_Vadv9	59.144	-0.142	-0.028	0.0065	-0.0625	0.141	-0.0005	0.2825	0.069
0.05	0.5	ItemCritical_6	59.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.05	0.5	ItemMixed_1	59.125	-0.208	-0.025	0.015	-0.065	-0.208	-0.0195	-0.3965	-0.08
0.05	0.5	ItemMixed_11	59.2	-0.095	0.016	-0.017	0.049	0.018	-0.02	0.056	0.004
0.05	0.5	ItemMixed_12	59.178	-0.076	0.061	-0.007	0.129	-0.076	0.018	-0.17	0.15
0.05	0.5	ItemMixed_13	59.253	-0.095	-0.005	0.006	-0.016	0.075	0.075	0.075	0.038
0.05	0.5	ItemMixed_14	59.261	0.0	-0.006	0.001	-0.013	0.037	0.15	-0.076	0.005
0.05	0.5	ItemMixed_15	59.2	0.15	0.068	0.0945	0.0415	-0.095	-0.152	-0.038	0.092
0.05	0.5	ItemMixed_16	59.204	0.009	0.0	0.0	0.0	0.009	-0.0005	0.0185	0.0
0.05	0.5	ItemMixed_17	59.265	0.028	0.003	-0.017	0.023	0.009	-0.0195	0.0375	0.019
0.05	0.5	ItemMixed_18	59.283	0.037	0.009	0.011	0.007	0.018	-0.0575	0.0935	0.048
0.05	0.5	ItemMixed_19	59.238	-0.114	-0.02	0.0455	-0.0855	0.113	0.056	0.17	0.161
0.05	0.5	ItemMixed_2	59.121	-0.217	0.044	-0.0065	0.0945	-0.066	0.0185	-0.1505	-0.178
0.05	0.5	ItemMixed_21	59.257	0.028	-0.007	0.032	-0.046	-0.01	-0.0005	-0.0195	0.013
0.05	0.5	ItemMixed_22	59.231	0.113	-0.03	-0.03	-0.03	0.113	0.226	0.0	0.062
0.05	0.5	ItemMixed_23	59.238	0.094	-0.005	0.0065	-0.0165	-0.038	-0.1135	0.0375	-0.011
0.05	0.5	ItemMixed_24	59.28	-0.066	-0.015	-0.0065	-0.0235	0.028	-0.038	0.094	-0.033
0.05	0.5	ItemMixed_25	59.261	0.0	-0.005	-0.0205	0.0105	0.018	0.0365	-0.0005	-0.052
0.05	0.5	ItemMixed_26	59.246	0.018	-0.006	0.026	-0.038	0.018	-0.02	0.056	0.021
0.05	0.5	ItemMixed_27	59.257	-0.123	-0.024	-0.036	-0.012	-0.085	-0.0005	-0.1695	-0.062
0.05	0.5	ItemMixed_28	59.276	-0.019	-0.016	-0.0335	0.0015	0.0	-0.057	0.057	-0.006
0.05	0.5	ItemMixed_29	59.272	-0.104	-0.027	-0.022	-0.032	-0.01	0.1315	-0.1515	-0.049
0.05	0.5	ItemMixed_3	59.182	-0.066	-0.056	0.0015	-0.1135	-0.085	-0.019	-0.151	-0.109
0.05	0.5	ItemMixed_30	59.246	0.018	0.008	0.006	0.01	0.018	0.018	0.018	0.07
0.05	0.5	ItemMixed_31	59.231	-0.076	-0.021	0.0385	-0.0805	0.113	0.0375	0.1885	0.103
0.05	0.5	ItemMixed_32	59.295	-0.029	0.001	0.009	-0.007	-0.01	-0.0005	-0.0195	-0.002
0.05	0.5	ItemMixed_33	59.257	-0.01	-0.01	-0.022	0.002	-0.142	-0.1515	-0.1325	0.023
0.05	0.5	ItemMixed_34	59.212	0.16	-0.018	-0.0565	0.0205	-0.085	-0.1325	-0.0375	-0.066
0.05	0.5	ItemMixed_35	59.253	-0.019	-0.008	0.005	-0.021	-0.133	-0.152	-0.114	0.019
0.05	0.5	ItemMixed_36	59.238	0.0	0.007	0.0285	-0.0145	-0.076	-0.095	-0.057	0.005
0.05	0.5	ItemMixed_37	59.197	-0.029	-0.02	0.0005	-0.0405	0.084	0.018	0.15	0.028
0.05	0.5	ItemMixed_38	59.212	0.009	-0.008	-0.0035	-0.0125	0.009	0.0185	-0.0005	0.006
0.05	0.5	ItemMixed_39	59.174	-0.085	0.023	-0.0115	0.0575	-0.085	-0.019	-0.151	0.069
0.05	0.5	ItemMixed_4	59.265	0.028	0.046	0.1095	-0.0175	0.066	0.1695	-0.0375	-0.138
0.05	0.5	ItemMixed_40	59.182	-0.067	0.038	-0.0115	0.0875	-0.085	-0.019	-0.151	0.098
0.05	0.5	ItemMixed_41	59.295	0.028	0.009	0.0195	-0.0015	-0.048	-0.02	-0.076	0.022
0.05	0.5	ItemMixed_42	59.174	0.084	0.011	0.0315	-0.0095	-0.085	-0.151	-0.019	0.041
0.05	0.5	ItemMixed_43	59.231	-0.019	-0.002	0.009	-0.013	0.018	0.0935	-0.0575	0.021
0.05	0.5	ItemMixed_5	59.144	0.009	-0.015	-0.062	0.032	0.16	0.1505	0.1695	0.008
0.05	0.5	ItemMixed_6	59.283	0.018	-0.004	-0.0145	0.0065	0.056	0.0745	0.0375	-0.083
0.05	0.5	ItemMixed_7	59.231	-0.076	0.002	0.006	-0.002	0.056	0.037	0.075	0.013
0.05	0.5	ItemMixed_8	59.182	0.066	-0.064	-0.0755	-0.0525	0.009	-0.1895	0.2075	-0.026
0.05	0.5	ItemMixed_9	59.174	-0.255	0.076	-0.018	0.17	-0.048	-0.0385	-0.0575	0.272
0.05	0.75	Item232_Critical_29	59.124	0.094	0.076	0.3295	-0.1775	0.094	0.396	-0.208	-0.159
0.05	0.75	Item232_Critical_31	59.09	-0.047	0.027	0.041	0.013	0.085	0.1885	-0.0185	-0.283
0.05	0.75	ItemCritical_0	59.139	0.113	0.061	0.2335	-0.1115	-0.207	-0.188	-0.226	0.041
0.05	0.75	ItemCritical_1	59.226	0.217	-0.031	-0.034	-0.028	-0.047	0.1135	-0.2075	0.072
0.05	0.75	ItemCritical_10	59.113	-0.142	-0.081	0.0175	-0.1795	-0.179	-0.264	-0.094	-0.168
0.05	0.75	ItemCritical_11	58.437	-1.038	0.472	-0.0835	1.0275	-0.339	-0.037	-0.641	0.251
0.05	0.75	ItemCritical_12	58.502	-0.896	0.027	-0.0265	0.0805	0.085	-0.0565	0.2265	0.428
0.05	0.75	ItemCritical_13	58.487	-1.349	0.218	-0.0215	0.4575	-0.028	0.1325	-0.1885	-0.004
0.05	0.75	ItemCritical_14	58.558	-0.717	-0.17	0.148	-0.488	0.528	0.8865	0.1695	0.14
0.05	0.75	ItemCritical_15	59.132	0.0	0.08	0.0085	0.1515	-0.151	-0.321	0.019	0.007
0.05	0.75	ItemCritical_16	58.464	-0.953	0.07	0.2745	-0.1345	-0.085	-0.321	0.151	0.362
0.05	0.75	ItemCritical_17	58.687	-0.434	0.152	0.1515	0.1525	-0.207	-0.358	-0.056	0.153
0.05	0.75	ItemCritical_18	58.336	-2.085	0.0	0.097	-0.097	-0.349	0.151	-0.849	-0.708
0.05	0.75	ItemCritical_19	58.675	-0.689	0.027	-0.0445	0.0985	-0.273	-0.094	-0.452	-0.01
0.05	0.75	ItemCritical_2	58.619	-0.396	-0.087	-0.0115	-0.1625	-0.113	-0.7545	0.5285	-0.06
0.05	0.75	ItemCritical_20	58.479	-1.047	0.134	0.312	-0.044	-0.311	0.151	-0.773	0.353
0.05	0.75	ItemCritical_21	58.554	-0.896	-0.081	0.358	-0.52	-0.198	-0.3395	-0.0565	-0.194
0.05	0.75	ItemCritical_22	58.543	-1.547	0.033	-0.0485	0.1145	-0.868	-0.0945	-1.6415	-0.435
0.05	0.75	ItemCritical_23	58.671	0.471	0.078	0.168	-0.012	-0.679	-1.415	0.057	0.471
0.05	0.75	ItemCritical_24	59.275	-0.095	-0.03	-0.007	-0.053	0.132	0.094	0.17	0.058
0.05	0.75	ItemCritical_25	59.177	-0.321	0.133	-0.03	0.296	0.151	-0.0755	0.3775	-0.097
