VSLK_ID	Sentence
E1_21_c	The bully who was on the playground punched the kid after all the kids had to leave to go to class.
E1_21_d	The kid that the bully punched found the teacher after all the kids had to leave to go to class.
E1_21_e	The kid that the bully on the playground punched found the teacher after all the kids had to leave to go to class.
E1_21_f	The kid that the bully who was on the playground punched found the teacher after all the kids had to go to class.
E1_22_a	The natives captured the anthropologist because she had information that could help the tribe.
E1_22_b	The natives on the island captured the anthropologist because she had information that could help the tribe.
E1_22_c	The natives who were on the island captured the anthropologist because she had information that could help the tribe.
E1_22_d	The anthropologist who the natives captured talked to the chief because she had information that could help the tribe.
E1_22_e	The anthropologist who the natives on the island captured talked to the chief because she had information that could help the tribe.
E1_22_f	The anthropologist who the natives who were on the island captured talked to the chief because she had information that could help the tribe.
E1_23_a	The scientists studied the alien while the blood sample was run through the computer.
E1_23_b	The scientists in the lab studied the alien while the blood sample was run through the computer.
E1_23_c	The scientists who were in the lab studied the alien while the blood sample was run through the computer.
E1_23_d	The alien who the scientists studied killed an assistant while the blood sample was run through the computer.
E1_23_e	The alien who the scientists in the lab studied killed an assistant while the blood sample was run through the computer.
E1_23_f	The alien who the scientists who were in the lab studied killed an assistant while the blood sample was run through the computer.
E1_24_a	The police arrested the biker since he was driving under the influence of alcohol.
E1_24_b	The police at the intersection arrested the biker since he was driving under the influence of alcohol.
E1_24_c	The police who were at the intersection arrested the biker since he was driving under the influence of alcohol.
E1_24_d	The biker who the police arrested ran a light since he was driving under the influence of alcohol.
E1_24_e	The biker who the police at the intersection arrested ran a light since he was driving under the influence of alcohol.
E1_24_f	The biker who the police who were at the intersection arrested ran a light since he was driving under the influence of alcohol.
E1_25_a	The demonstrators supported the environmentalist until security came and sent everyone home.
E1_25_b	The demonstrators at the rally supported the environmentalist until security came and sent everyone home.
E1_25_c	The demonstrators who were at the rally supported the environmentalist until security came and sent everyone home.
E1_25_d	The environmentalist who the demonstrators supported the crowd until security came and sent everyone home.
E1_25_e	The environmentalist who the demonstrators at the rally supported calmed the crowd until security came and sent everyone home.
E1_25_f	The environmentalist who the demonstrators who were at the rally supported calmed the crowd until security came and sent everyone home.
E1_26_a	The journalists worshipped the astronaut after he discovered a potential leak in the fuel tank.
E1_26_b	The journalists at the launch worshipped the astronaut after he discovered a potential leak in the fuel tank.
E1_26_c	The journalists who were at the launch worshipped the astronaut after he discovered a potential leak in the fuel tank.
E1_26_d	The astronaut that the journalists worshipped criticized the administrators after he discovered a potential leak in the fuel tank.
E1_26_e	The astronaut that the journalists at the launch worshipped criticized the administrators after he discovered a potential leak in the fuel tank.
E1_26_f	The astronaut that the journalists who were at the launch worshipped criticized the administrators after he discovered a potential leak in the fuel tank.
E1_27_a	The casino hired the daredevil because he was confident that everything would go according to plan.
E1_27_b	The casino near the jump hired the daredevil because he was confident that everything would go according to plan.
E1_27_c	The casino that was near the jump hired the daredevil because he was confident that everything would go according to plan.
E1_27_d	The daredevil who the casino hired waved to the crowd because he was confident that everything would go according to plan.
E1_27_e	The daredevil who the casino near the jump hired waved to the crowd because he was confident that everything would go according to plan.
E1_27_f	The daredevil who the casino that was near the jump hired waved to the crowd because he was confident that everything would go according to plan.
E1_28_a	The technician repaired the robot while people were taking a break for coffee.
E1_28_b	The technician at the show repaired the robot while people were taking a break for coffee.
E1_28_c	The technician who was at the show repaired the robot while people were taking a break for coffee.
E1_28_d	The robot that the technician repaired surveyed the crowd while people were taking a break for coffee.
E1_28_e	The robot that the technician at the show repaired surveyed the crowd while people were taking a break for coffee.
E1_28_f	The robot that the technician who was at the show repaired surveyed the crowd while people were taking a break for coffee.
E1_29_a	The woman hired the plumber despite the fact that he couldn't fix the toilet.
E1_29_b	The woman in the apartment hired the plumber despite the fact that he couldn't fix the toilet.
E1_29_c	The woman who was in the apartment hired the plumber despite the fact that he couldn't fix the toilet.
E1_29_d	The plumber who the woman hired fixed the sink despite the fact that he couldn't fix the toilet.
E1_29_e	The plumber who the woman in the kitchen hired fixed the sink despite the fact that he couldn't fix the toilet.
E1_29_f	The plumber who the woman who was in the kitchen hired fixed the sink despite the fact that he couldn't fix the toilet.
E1_30_a	The historian offended the speaker after the talk was over and everyone had left the room.
E1_30_b	The historian by the podium offended the speaker after the talk was over and everyone had left the room.
E1_30_c	The historian who was by the podium offended the speaker after the talk was over and everyone had left the room.
E1_30_d	The speaker who the historian offended kicked a chair after the talk was over and everyone had left the room.
E1_30_e	The speaker who the historian by the podium offended kicked a chair after the talk was over and everyone had left the room.
E1_30_f	The speaker who the historian who was by the podium offended kicked a chair after the talk was over and everyone had left the room.
filler_10_-	The divorcee has come to love her life ever since she got divorced.
filler_11_-	The intern comforted the patient because he was in great pain.
filler_12_-	The trainee knew that the task which the director had set for him was impossible to finish within a week.
filler_13_-	The company was sure that its new product, which its researchers had developed, would soon be sold out.
filler_14_-	The passer-by threw the cardboard box into the trash-can with great force.
filler_15_-	The beggar is often scrounging for cigarettes.
filler_16_-	The librarian put the book onto the shelf.
filler_17_-	The sportsman goes jogging in the park regularly.
filler_18_-	The roommate takes out the garbage every week.
filler_19_-	The showman travels to different cities every month.
filler_1_-	The student quickly finished his homework assignments.
filler_20_-	The teacher doubted that the test that had taken him a long time to design would be easy to answer.
filler_21_-	The salesman feared that the printer which the customer bought was damaged.
filler_22_-	During the party everybody was dancing to rock music.
filler_23_-	The photographer processed the film on time.
filler_24_-	The producer shoots a new movie every year.
filler_25_-	Yesterday the swimmer saw only a turtle at the beach.
filler_26_-	The office-worker worked through the stack of files on his desk quickly.
filler_2_-	The defender is constantly scolding the keeper.
filler_3_-	The private tutor explained the assignment carefully.
filler_4_-	The locksmith can crack the safe easily.
filler_5_-	The milkman punctually delivers the milk at the door every day.
filler_6_-	The citizens of France eat oysters.
filler_7_-	During the season, the choir holds rehearsals in the church regularly.
filler_8_-	After the argument, the husband ignored his wife.
filler_9_-	Dinosaurs ate other reptiles during the stone age.
