workerid	completion	condition	item	sentence1	slide_number
0	felt was unstable used running as a form of therapy was incorrect.	SC_RC	CRITICAL_7	The assertion that the marathon runner who the psychiatrist	33
0	team elected a captain declined the offer.	obj_ext_RC	5_obj_ext_RC	The bowler who the	34
0	won the race praised his horse.	sub_ext_RC	5_sub_ext_RC	The jockey who	35
0	had attacked where mortally wounded surprised the criminal.	SC_RC	CRITICAL_6	The realization that the injured victims who the criminal	36
0	usually used a pencil, was adequate for it's use	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	37
0	 taught his university, felt he owed him a debt.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	38
0	chance I would take it.	filler	filler_3	If I ever get another	39
0	believed, turned out to be full of lies.	SC_RC	CRITICAL_1	The story that the cunning trickster who the woman	40
0	are super during the summer.	filler	filler_5	Outdoor games and picnics	41
0	had always thought highly of had been sacked surprised him.	SC_RC	CRITICAL_3	The declaration that the office clerk who the customer	42
1	conservative political policies.	filler	filler	Annabelle was generally against	4
1	that he had forgotten to lock the back door before he went to bed.	filler	filler	When Frank woke up, he remembered	5
1	was invited to dinner at his Lordship's manor.	filler	filler	The gardener's son won a scholarship, so he	6
1	his heavy waterproof coat.	filler	filler_35	The lumberjack sweated under the	7
1	been having an affair with her sister.	filler	filler_12	Carl admitted to Larissa the he had	8
1	telemarketing call I swear I will disconnect the land line.	filler	filler_3	If I ever get another	9
1	secretly feared, was that he would one day be Prime Minister.	SC_RC	CRITICAL_10	The belief that the ambitious student who the bully	10
1	try, you'll never know!	filler	filler_6	If you don't	11
1	winning the competition.	filler	filler_34	The choir made a lot of noise in the back of the bus after	12
1	crowd loved, was secretly an alcoholic.	obj_ext_RC	5_obj_ext_RC	The bowler who the	13
1	knew personally, was actually taking bribes was widely known.	SC_RC	CRITICAL_7	The assertion that the conservative senator who the diplomat	14
1	operated on me, lost was very valuable. 	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	15
1	Mary could stop them.	filler	filler_27	The horses ran down the hill to the barn before	16
1	knew personally, was actually a fraud was a carefully guarded secret in the company.	SC_RC	CRITICAL_1	The story that the successful CEO who the employee	17
1	loved country music, then sang brought a tear to everyone's eyes.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	18
1	the competition cheated, surprised the committee.	SC_RC	CRITICAL_4	The disclosure that the young violinist who the sponsors	19
1	person dies by gunshot. 	filler	filler_14	Every 20 minutes in the US a	20
1	believed to be Joe, was actually written by Ben was the clue he was waiting for.	SC_RC	CRITICAL_0	The report that the college student who the professor	21
1	walked out of the forest that day was actually the King. 	sub_ext_RC	4_sub_ext_RC	The ranger who	22
1	had so callously abandonned, had all died played heavily on his mind.	SC_RC	CRITICAL_6	The realization that the injured victims who the criminal	23
1	years ago, the declaration was published.	filler	filler_16	Four score and seven	24
1	waited for his arrival.	filler	filler_29	She drummed her fingers against the table as she	25
1	lawyer believed was fully qualified turned out to be a scam artist.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	26
1	had seen running across the street, drove him to search every building in the block.	SC_RC	CRITICAL_9	The inkling that the alleged criminal who the officer	27
1	arrived late was not able to take part.	sub_ext_RC	2_sub_ext_RC	The voter who	28
1	wish her a happy birthday	filler	filler_40	The old man phoned his younger sister to	29
1	had respected for over two decades was a thief, took the whole community by surprise.	SC_RC	CRITICAL_3	The declaration that the old preacher who the parishioners	30
1	had been to school with, had seemed to age twice as fast as his schoolmates.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	31
1	was infatuated with, was married turned out to be a lie.	SC_RC	CRITICAL_8	The assumption that the leading man who the starlet	32
1	farmer always used, was ill. 	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	33
1	had never been published before, was a perfect copy of the original draft.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	34
1	are perfect in this weather.	filler	filler_5	Outdoor games and picnics	35
1	had always breakfasted at the resturant saw, was no other than Carl Jenkins.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	36
1	had been at the meeting, had spoken to, wrote a detailed expose of the plan.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	37
1	of our country, was actually a mentally ill, sociopath surprised no one.	SC_RC	CRITICAL_5	The confirmation that the military commander who the president	38
1	fell at the first hurdle broke both his legs.	sub_ext_RC	5_sub_ext_RC	The jockey who	39
1	had fallen in love with, was actually stealing her money, gave her brother the reason to call the police.	SC_RC	CRITICAL_2	The admission that the cunning trickster who the woman	40
1	remember those of their comrades who had died that day.	filler	filler_24	The aviators gathered together at the library to	41
1	regularly praised, was a murderer was covered up. 	SC_RC	CRITICAL_11	The fact that the suspected mobster who the media	42
2	it was saturday so stopped in bed no work today	filler	filler	When Frank woke up, he remembered	4
2	 is off to the  pub to celebrate with his friends 	filler	filler	The gardener's son won a scholarship, so he	5
2	animal testing	filler	filler	Annabelle was generally against	6
2	who literally didn't know how to bowl 	obj_ext_RC	5_obj_ext_RC	The bowler who the	7
2	arrested was a 39 year old male	SC_RC	CRITICAL_4	The disclosure that the alleged criminal who the officer	8
2	wrote with it was black	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	9
2	loved was a criminal	SC_RC	CRITICAL_11	The fact that the suspected mobster who the media	10
2	brush your teeth you will get cavities	filler	filler_6	If you don't	11
2	paralegal tasks may include research and drafting documents, attending client meetings and document management. 	obj_ext_RC	4_obj_ext_RC	The paralegal who the	12
2	won the grand national  was so happy	sub_ext_RC	5_sub_ext_RC	The jockey who	13
2	sang was a love song	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	14
2	loved because hes was a leadership success	SC_RC	CRITICAL_1	The story that the savvy politician who the banker	15
2	 years ago speech	filler	filler_16	Four score and seven	16
2	i will keep it forever 	filler	filler_3	If I ever get another	17
2	was the bride	SC_RC	CRITICAL_5	The confirmation that the leading man who the starlet	18
2	was blind was brilliant 	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	19
2	look after the deer  was a great ranger	sub_ext_RC	4_sub_ext_RC	The ranger who	20
2	worked for was criminals	SC_RC	CRITICAL_3	The declaration that the violent extremist who the agent	21
2	is great fun in the summertime 	filler	filler_5	Outdoor games and picnics	22
2	give a gift too was very grateful	SC_RC	CRITICAL_8	The assumption that the famous surgeon who the patient	23
2	singing in the local choir	filler	filler_34	The choir made a lot of noise in the back of the bus after	24
2	read books on aviation	filler	filler_24	The aviators gathered together at the library to	25
2	like is blind but very good	SC_RC	CRITICAL_0	The report that the young violinist who the sponsors	26
2	did not vote ever	sub_ext_RC	2_sub_ext_RC	The voter who	27
2	painted some great works of art  was  disabled  	SC_RC	CRITICAL_10	The belief that the famous sculptor who the painter	28
2	eating hay	filler	filler_27	The horses ran down the hill to the barn before	29
2	plane flys bye	filler	filler_14	Every 20 minutes in the US a	30
2	tricked was actually  a man	SC_RC	CRITICAL_9	The inkling that the cunning trickster who the woman	31
2	worked for him was 99 years old	RC_RC_an	1_RC_RC_an	The reporter who the professor who	32
2	worked for just got out of prison 	SC_RC	CRITICAL_7	The assertion that the shady trader who the businessman	33
2	do some shopping for him as he cant get out 	filler	filler_40	The old man phoned his younger sister to	34
2	stole books form is homeless  	SC_RC	CRITICAL_6	The realization that the angry bookseller who the thief	35
2	been having affair for  3 years	filler	filler_12	Carl admitted to Larissa the he had	36
2	i left a tip was spanish	RC_RC_an	3_RC_RC_an	The waiter who the customer who	37
2	liked  was a great man	SC_RC	CRITICAL_2	The admission that the school principal who the teacher	38
2	heat of the midday sun	filler	filler_35	The lumberjack sweated under the	39
2	did  her exams	filler	filler_29	She drummed her fingers against the table as she	40
2	dogs loved was a nice man	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	41
2	gained experience was the best in is field 	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	42
3	it was a Bank Holiday.	filler	filler	When Frank woke up, he remembered	4
3	applied for a job at a local mansion estate.	filler	filler	The gardener's son won a scholarship, so he	5
3	cruelty to animals. 	filler	filler	Annabelle was generally against	6
3	middday sun.	filler	filler_35	The lumberjack sweated under the	7
3	ask if she could visit him.	filler	filler_40	The old man phoned his younger sister to	8
3	is my age.	filler	filler_16	Four score and seven	9
3	robbed was an invalid, meant nothing.	SC_RC	CRITICAL_11	The fact that the angry bookseller who the thief	10
3	ruined his paper, wasted his vote	sub_ext_RC	2_sub_ext_RC	The voter who	11
3	do as you are told, you will get no dinner.	filler	filler_6	If you don't	12
3	copied, was not very good.	SC_RC	CRITICAL_10	The belief that the famous sculptor who the painter	13
3	disliked, found the defendent guilty.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	14
3	had stabbed, caused a lot of grief.	SC_RC	CRITICAL_9	The inkling that the injured victims who the criminal	15
3	sign a book recently published.	filler	filler_24	The aviators gathered together at the library to	17
3	was injured by the bear only started work today.	sub_ext_RC	4_sub_ext_RC	The ranger who	18
3	gave a million pounds to was that it would be put to good use.	SC_RC	CRITICAL_8	The assumption that the aspiring entrepreneur who the philanthropist	19
3	are better when it is sunny.	filler	filler_5	Outdoor games and picnics	20
3	citizen gets stabbed.	filler	filler_14	Every 20 minutes in the US a	21
3	was recently burgled was talking to, was his brother.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	22
3	had recently decorated, was gay, was false.	SC_RC	CRITICAL_0	The report that the military commander who the president	23
3	gave me a filling, fell out of his pocket.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	24
3	job, I will be so happy.	filler	filler_3	If I ever get another	25
3	critised was really a woman, amazed everybody.	SC_RC	CRITICAL_7	The assertion that the mad scientist who the mayor	27
3	had recently finished , was lost in the post.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	28
3	waited patiently for his arrival	filler	filler_29	She drummed her fingers against the table as she	29
3	received thanks from, started his career at his level.	SC_RC	CRITICAL_6	The realization that the successful CEO who the employee	30
3	had an affair.	filler	filler_12	Carl admitted to Larissa the he had	31
3	witness confessed to, did not believe him.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	32
3	accused, was missleading.	SC_RC	CRITICAL_3	The declaration that the office clerk who the customer	33
3	they had won the singing competition	filler	filler_34	The choir made a lot of noise in the back of the bus after	34
3	could not be seated, was apologetic.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	35
3	had sex with, was gay, was not true.	SC_RC	CRITICAL_4	The disclosure that the school principal who the teacher	36
3	customer went to, said the cat had fleas.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	37
3	depictted was his work, astounded everyone.	SC_RC	CRITICAL_2	The admission that the marketing whiz who the artist	38
3	had composed it was singing, was very sad.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	39
3	had given money to, was not good enough, showed when he started playing	SC_RC	CRITICAL_5	The confirmation that the young violinist who the sponsors	40
3	the owner could stop them.	filler	filler_27	The horses ran down the hill to the barn before	41
3	distrusted. was a millionnaire was correct.	SC_RC	CRITICAL_1	The story that the savvy politician who the banker	42
4	that he'd left the oven on.	filler	filler	When Frank woke up, he remembered	4
4	decided to celebrate by having a night out on the town.	filler	filler	The gardener's son won a scholarship, so he	5
4	everything.	filler	filler	Annabelle was generally against	6
4	decided on the outcome of the case.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	7
4	was in love with.	SC_RC	CRITICAL_1	The story that the courageous lifesaver who the swimmer	8
4	a bone to pick with her.	filler	filler_12	Carl admitted to Larissa the he had	11
4	was trying to care for.	SC_RC	CRITICAL_11	The fact that the frightened child who the medic	12
4	wasn't happy with the service provided.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	13
4	was known for being over the top.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	14
4	tried to figure out how to conquer this essay.	filler	filler_29	She drummed her fingers against the table as she	15
4	didn't trust at all.	SC_RC	CRITICAL_5	The confirmation that the cunning trickster who the woman	16
4	get him some chocolate.	filler	filler_40	The old man phoned his younger sister to	17
4	know then I'm not going to tell you.	filler	filler_6	If you don't	18
4	are not particularly fun in the rain.	filler	filler_5	Outdoor games and picnics	19
4	never trusted.	SC_RC	CRITICAL_9	The inkling that the odd neighbor who the woman	20
4	the towns people ate them.	filler	filler_27	The horses ran down the hill to the barn before	21
4	years ago.	filler	filler_16	Four score and seven	22
4	read really interesting books about planes.	filler	filler_24	The aviators gathered together at the library to	23
4	fancied but was too ashamed to admit.	SC_RC	CRITICAL_10	The belief that the ambitious student who the bully	24
4	decided that no one was worth voting for.	sub_ext_RC	2_sub_ext_RC	The voter who	25
4	cat then I'll dress him like a doll and have tea parties with him.	filler	filler_3	If I ever get another	26
4	revered, was that he was a conman.	SC_RC	CRITICAL_2	The admission that the successful CEO who the employee	27
4	mushroom gets eaten.	filler	filler_14	Every 20 minutes in the US a	28
4	was trying to bribe was that she was as corrupt as her friend had said.	SC_RC	CRITICAL_6	The realization that the savvy politician who the banker	29
4	decided to go and climb Mount Everest together.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	30
4	had declared clinically insane was that he'd eaten a squirrel he'd caught in the garden.	SC_RC	CRITICAL_0	The report that the marathon runner who the psychiatrist	31
4	dinner lady adored and admired.	obj_ext_RC	5_obj_ext_RC	The bowler who the	32
4	got lost on a trial and had to learn to live in the wild.	sub_ext_RC	4_sub_ext_RC	The ranger who	33
4	posed for was that he had gotten help from his friend and didn't actually know how to make sculptures.	SC_RC	CRITICAL_4	The disclosure that the famous sculptor who the painter	34
4	fell off the horse.	sub_ext_RC	5_sub_ext_RC	The jockey who	35
4	hated was that he was incompetent.	SC_RC	CRITICAL_7	The assertion that the office clerk who the customer	36
4	had one leg used to write all his notes.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	37
4	big boss was trying to get rid of after a slew of lost cases.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	38
4	donated millions to was that after all his hard work, he would never amount to anything at all.	SC_RC	CRITICAL_3	The declaration that the aspiring entrepreneur who the philanthropist	39
4	had just been given a hefty payment for his previous book being turned into a film, was declared a masterpiece. 	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	40
4	one of the members revealed they were actually Adele.	filler	filler_34	The choir made a lot of noise in the back of the bus after	41
4	scolded, was that he was off the wagon again.	SC_RC	CRITICAL_8	The assumption that the college student who the professor	42
5	he forgot to call his mother!	filler	filler	When Frank woke up, he remembered	4
5	went to college and saved his parents a lot of money!	filler	filler	The gardener's son won a scholarship, so he	5
5	all forms of violence.	filler	filler	Annabelle was generally against	6
5	tried to bribe, was wrong.	SC_RC	CRITICAL_9	The inkling that the conservative senator who the diplomat	7
5	are great family activities.	filler	filler_5	Outdoor games and picnics	8
5	winning the competition.	filler	filler_34	The choir made a lot of noise in the back of the bus after	9
5	fell in love with, was that he was too old for her.	SC_RC	CRITICAL_8	The assumption that the leading man who the starlet	10
5	lawyer badmouthed, ended up leaving the firm.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	11
5	helped convict his client showed no remorse.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	12
5	tried to help, was wrong.	SC_RC	CRITICAL_5	The confirmation that the violent extremist who the agent	13
5	spoiled his ballot was making a political statement.	sub_ext_RC	2_sub_ext_RC	The voter who	14
5	heard her favorite song on the radio.	filler	filler_29	She drummed her fingers against the table as she	15
5	have their monthly meeting.	filler	filler_24	The aviators gathered together at the library to	16
5	tried to intimidate was well written and coherent.	SC_RC	CRITICAL_4	The disclosure that the ambitious student who the bully	17
5	not cleaned the bathroom like she had requested.	filler	filler_12	Carl admitted to Larissa the he had	18
5	asked to to stop running ignored her, angered the professional.	SC_RC	CRITICAL_11	The fact that the marathon runner who the psychiatrist	19
5	wrote the paper, quoted him incorrectly.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	20
5	dog was afraid of, tried to reassure him that everything would be fine.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	21
5	tried to discredit, showed that the mayor was right!	SC_RC	CRITICAL_3	The declaration that the mad scientist who the mayor	22
5	crowd applauded, just bowled a perfect game!	obj_ext_RC	5_obj_ext_RC	The bowler who the	23
5	the clouds began to open and the rain could soak them.	filler	filler_27	The horses ran down the hill to the barn before	24
5	was treating Jane, stopped working.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	25
5	was saved by, was actually her brother!	SC_RC	CRITICAL_6	The realization that the courageous lifesaver who the swimmer	26
5	wanted to be published was not accepted by any publishing company.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	27
5	led the horse to victory was pleased with the result.	sub_ext_RC	5_sub_ext_RC	The jockey who	28
5	tried to have speak at his fundraiser was incorrect - he was not a nice person!	SC_RC	CRITICAL_7	The assertion that the aspiring entrepreneur who the philanthropist	29
5	years ago.	filler	filler_16	Four score and seven	30
5	blistering heat of the afternoon sun.	filler	filler_35	The lumberjack sweated under the	31
5	was in charge of the animals lounged in the cool mountain air.	sub_ext_RC	4_sub_ext_RC	The ranger who	32
5	did not trust, was confirmed when she was reprimanded without cause.	SC_RC	CRITICAL_10	The belief that the school principal who the teacher	33
5	listen, you will be in trouble!	filler	filler_6	If you don't	34
5	see how she was feeling.	filler	filler_40	The old man phoned his younger sister to	35
5	assaulted, was a tragic one.	SC_RC	CRITICAL_1	The story that the injured victims who the criminal	36
5	speeding ticket, I will be so upset!	filler	filler_3	If I ever get another	37
5	person is shot.	filler	filler_14	Every 20 minutes in the US a	38
5	performed it, ended up being the first hit single of her album.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	39
5	confronted, was found to be meritless.	SC_RC	CRITICAL_0	The report that the odd neighbor who the woman	40
5	asked for more napkins, was annoyed.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	41
5	confronted, was shocking!	SC_RC	CRITICAL_2	The admission that the marketing whiz who the artist	42
6	gun control legislation.	filler	filler	Annabelle was generally against	4
6	could study accounting.	filler	filler	The gardener's son won a scholarship, so he	5
6	he had no friends.	filler	filler	When Frank woke up, he remembered	6
6	thanked.	SC_RC	CRITICAL_4	The disclosure that the courageous lifesaver who the swimmer	7
6	was famous for his comedies, was lost.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	8
6	afternoon sun.	filler	filler_35	The lumberjack sweated under the	9
6	they started to sing.	filler	filler_34	The choir made a lot of noise in the back of the bus after	10
6	missed was that no one liked him.	SC_RC	CRITICAL_3	The declaration that the leading man who the starlet	11
6	was disgraced, got a good story.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	12
6	club had banned, stormed back in.	obj_ext_RC	5_obj_ext_RC	The bowler who the	13
6	fell for was guilty, saved many lives.	SC_RC	CRITICAL_2	The admission that the cunning trickster who the woman	14
6	got lost, asked for directions.	sub_ext_RC	2_sub_ext_RC	The voter who	15
6	found was all alone.	SC_RC	CRITICAL_7	The assertion that the frightened child who the medic	16
6	board had dismissed, was welcomed back.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	17
6	had assaulted, testified, meant that he was brought to justice.	SC_RC	CRITICAL_11	The fact that the injured victims who the criminal	18
6	was berated, ended up being fired.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	19
6	stolen a candy bar.	filler	filler_12	Carl admitted to Larissa the he had	20
6	had shouted at, filed a complaint.	SC_RC	CRITICAL_5	The confirmation that the college student who the professor	22
6	make money, you won't be able to support yourself.	filler	filler_6	If you don't	23
6	years ago.	filler	filler_16	Four score and seven	24
6	lawyer liked received a promotion.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	25
6	was friends with, gave them special treatment.	SC_RC	CRITICAL_8	The assumption that the successful CEO who the employee	26
6	fell off the horse.	sub_ext_RC	5_sub_ext_RC	The jockey who	27
6	house, I'll be rich.	filler	filler_3	If I ever get another	28
6	had pushed, took matters into his own hands.	SC_RC	CRITICAL_0	The report that the angry bookseller who the thief	29
6	baby is born.	filler	filler_14	Every 20 minutes in the US a	30
6	tell her he missed her.	filler	filler_40	The old man phoned his younger sister to	31
6	listened to the music.	filler	filler_29	She drummed her fingers against the table as she	32
6	had sacked, was coming back.	SC_RC	CRITICAL_9	The inkling that the military commander who the president	33
6	had scolded, apologised.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	34
6	paid, wasn't a real taxi driver.	SC_RC	CRITICAL_10	The belief that the taxi driver who the tourist	35
6	had arrested, had since escaped.	SC_RC	CRITICAL_1	The story that the violent extremist who the agent	37
6	Discuss the new flight path.	filler	filler_24	The aviators gathered together at the library to	38
6	was old, reached number one.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	39
6	had an affair with, was half his age.	SC_RC	CRITICAL_6	The realization that the conservative senator who the diplomat	40
6	was bad at their job, had lost, was found.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	41
6	dropped his gun, was reprimanded.	sub_ext_RC	4_sub_ext_RC	The ranger who	42
7	what he had for breakfast yesterday.	filler	filler	When Frank woke up, he remembered	4
7	celebrated at the pub	filler	filler	The gardener's son won a scholarship, so he	5
7	street protests	filler	filler	Annabelle was generally against	6
7	worked with, was true.	SC_RC	CRITICAL_0	The report that the leading man who the starlet	7
7	baby is born	filler	filler_14	Every 20 minutes in the US a	8
7	fired, cured cancer.	SC_RC	CRITICAL_4	The disclosure that the mad scientist who the mayor	9
7	tipped, returned the money	RC_RC_an	3_RC_RC_an	The waiter who the customer who	10
7	glorified, was an undercover agent	SC_RC	CRITICAL_11	The fact that the suspected mobster who the media	11
7	celebrate past deeds	filler	filler_24	The aviators gathered together at the library to	12
7	job, it will be a miracle	filler	filler_3	If I ever get another	13
7	fastest speed, could be the greatest of all time	obj_ext_RC	5_obj_ext_RC	The bowler who the	14
7	are coming back after Coronavirus	filler	filler_5	Outdoor games and picnics	15
7	was gay, justified the crime in his mind	SC_RC	CRITICAL_5	The confirmation that the angry bookseller who the thief	16
7	studied hard, got the promotion	obj_ext_RC	4_obj_ext_RC	The paralegal who the	17
7	went deaf, was one of the most beautiful that evening.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	18
7	helped, broke the story	RC_RC_an	1_RC_RC_an	The reporter who the professor who	19
7	save, you could be in trouble in the future.	filler	filler_6	If you don't	20
7	warned about, came last.	SC_RC	CRITICAL_6	The realization that the marathon runner who the psychiatrist	21
7	dogs liked, was a woman.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	22
7	that evenings practice 	filler	filler_34	The choir made a lot of noise in the back of the bus after	23
7	picked on, was never founded	SC_RC	CRITICAL_10	The belief that the ambitious student who the bully	24
7	chose Brexit, was an idiot!	sub_ext_RC	2_sub_ext_RC	The voter who	25
7	blackmailed, came as no surprise	SC_RC	CRITICAL_2	The admission that the successful CEO who the employee	26
7	always fancied her.	filler	filler_12	Carl admitted to Larissa the he had	27
7	who came last, retired	sub_ext_RC	5_sub_ext_RC	The jockey who	28
7	tipped for greatness, turned out to be true	SC_RC	CRITICAL_9	The inkling that the college student who the professor	29
7	years ago, was a long time!	filler	filler_16	Four score and seven	30
7	fell in love with, was that he only wanted her for her money	SC_RC	CRITICAL_7	The assertion that the cunning trickster who the woman	31
7	won the noble prize, turned out to be fake.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	32
7	setting sun	filler	filler_35	The lumberjack sweated under the	33
7	going to bed for the night	filler	filler_27	The horses ran down the hill to the barn before	34
7	say his last goodbye	filler	filler_40	The old man phoned his younger sister to	35
7	helped, was known to the world forever more.	SC_RC	CRITICAL_3	The declaration that the savvy politician who the banker	36
7	agreed with, was successful	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	37
7	Green Peace, never really went anywhere	SC_RC	CRITICAL_8	The assumption that the young violinist who the sponsors	38
7	waited for the phone to ring	filler	filler_29	She drummed her fingers against the table as she	39
7	suspected, was entirely made up	SC_RC	CRITICAL_1	The story that the alleged criminal who the officer	40
7	spent the night drinking, didnt hear his alarm clock in the morning	sub_ext_RC	4_sub_ext_RC	The ranger who	41
7	thought she lost, was in her pocket the whole time	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	42
8	economic austerity.	filler	filler	Annabelle was generally against	4
8	he had a very special day ahead of him.	filler	filler	When Frank woke up, he remembered	5
8	had to leave his family behind.	filler	filler	The gardener's son won a scholarship, so he	6
8	insulted hit him is untrue.	SC_RC	CRITICAL_1	The story that the school principal who the teacher	7
8	bowling-alley attendant annoyed was not Welsh.	obj_ext_RC	5_obj_ext_RC	The bowler who the	8
8	puppy is born.	filler	filler_14	Every 20 minutes in the US a	9
8	slept with was very ill was widely held.	SC_RC	CRITICAL_10	The belief that the marketing whiz who the artist	10
8	bored her to tears.	filler	filler_5	Outdoor games and picnics	11
8	calmed was a refugee was true.	SC_RC	CRITICAL_7	The assertion that the frightened child who the medic	12
8	their concert performance.	filler	filler_34	The choir made a lot of noise in the back of the bus after	13
8	limped used was rather expensive.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	14
8	defendant hired was extremely hard-working.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	15
8	did the experiment gave information to wrote it up in a journal.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	16
8	attacked lost several IQ points was ill-founded.	SC_RC	CRITICAL_3	The declaration that the ambitious student who the bully	17
8	used to dateDeborah Harry sang was very moving.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	18
8	give her the good news.	filler	filler_40	The old man phoned his younger sister to	19
8	put in their headlines was innocent was upheld in court.	SC_RC	CRITICAL_5	The confirmation that the suspected mobster who the media	20
8	fought the bushfires received an award.	sub_ext_RC	4_sub_ext_RC	The ranger who	21
