completion	verbs	whichVerbDropped
terrorizes, will succeed in life .	2	1
the confirmation that the injured victims who the criminal jack who set fire to a boat was put in prison for 20 years 	NA	NA
thought he knew very well, was quite shocking.	2	2
thought was a patriot turned out to be false.	2	2
thought was a star student turned out to be a recurring cheater was disappointing to the professor.	3	NA
thought was good at heart, was completely false.	2	2
threatened were no longer conscious made the criminal's activities easier.	3	NA
tipped for greatness, turned out to be true	2	2
took on a world adventure, had a wonderful time!  	2	1
tormented, secretly enjoyed being beaten up.	2	1
tried to bribe, was wrong.	2	2
tried to discredit, showed that the mayor was right!	2	2
tried to have speak at his fundraiser was incorrect - he was not a nice person!	2	2
tried to help, was wrong.	2	2
tried to intimidate was well written and coherent.	2	2
vaccinated,had made a full recovery.	2	1
warned about, came last.	2	-1
was announced to be. 	1	NA
was extorting, scared him	2	2
was gay, justified the crime in his mind	2	2
was helping needed his inhaler was correct.	3	NA
was in a relationship with, spread like wildfire amongst the students.	2	2
was looking after was because of her cut leg.	2	2
was not a fan of,have invented a cure to coronavirus.	2	1
was saved by, was actually her brother!	2	1
was seeing.	1	NA
was supporting a new adventure.	1	NA
was winking at as she peered down the telescopic sight of the sniper rifle while sitting 4.3 miles away in the basket of a hot air balloon started to have second thoughts was mind blowing.	3	NA
went into business with was incomplete	2	2
were a fan of,played a beautiful melody	2	1
woke from an operation to find him kissing him, surprised the queen as she though her husband was heterosexual 	2	NA
worked with, was true.	2	NA
would eventually fall in love with has to be man, astounded feminists from Brighton this evening.	2	NA
Arrested was in fact the suspect in a number of related cases.	2	NA
Complained about was innocent of verbal abuse was supposed by witnesses. 	3	NA
Engaged with was a refugee, is a lie and was used by the media to mislead the general public. 	2	NA
Had been manipulating for years is now set to be sacked is all over the news today. 	3	NA
Had tried to intimidate was still standing against them is encouraging. 	3	NA
Hated working with has now banned parking putside school, means a lot of teachers will likely have to get the bus. 	3	NA
Have shied away from also had connections to top police cheifs is very worrying. 	3	NA
Stole from came with the news that book burglaries are on the rise. 	2	NA
Wanted to succeed would do the job well, meant they had little scrutiny on their work and could get away with anything. 	3	NA
Was sleeping with, also had relationships with several others working on the project, came as quite a shock. 	3	NA
Was tricked by 	NA	NA
accompanied has now been acknowledged	2	NA
accused of scamming her was in fact a police informant shocked everyone.	3	NA
accused was innocent was a poor thing for the media to do.	3	NA
accused, was missleading.	2	NA
accused, was still up to his old tricks came out in court.	3	NA
admired greatly, had been offered a job in Broadway made the starlet proud but jealous.	3	NA
admired said a lot for the mentoring programme.	2	NA
admired was an avid learner was not hard to believe.	3	NA
admired was attending an event and that he might meet him, pleased the painter.	3	NA
admired, was going to be fired, made the staff sad.	3	NA
adored, was somehow involved in the murder of the Senator, was hard to explain away. 	3	NA
advised to retire, had to stop running, was not received positively.	3	NA
almost caught that bleak Sunday in June, was on the loose again, sent shivers down his spine. 	3	NA
apointed has no foundation	2	NA
appointed was a good one. 	2	NA
appointed, is a pacifist comes as a surprise	3	NA
appreciated, was getting promoted brought joy to the patient.	3	NA
apprehended was to be set free was met with derision	3	NA
arrested was a 39 year old male	2	NA
arrested was false	2	NA
arrested was part of a cartel was incorrect.	3	NA
assaulted, was guilty is unfair	3	NA
attacked was endorsed by the tribunal	2	NA
attacked were from the house	2	NA
attacked were going to die, affected the verdict.	3	NA
attended to, was the President's son made the whole situation much more daunting. 	3	NA
backed made for interesting reading. 	2	NA
backed to win would be successful, turned out to be not so true.	3	NA
believed, turned out to be full of lies.	2	NA
booked 3 weeks before, failed to turn up.	2	NA
booped on the nose suffered from PTSD was heartbreaking.	3	NA
bribed shocked absolutely no one. 	2	NA
called Watergun Willy, decided to open a water park and go straight. 	2	NA
captured, turns out the agent is his cousins, brothers, mothers, fathers former room mate. Which makes them absolutely nothing.	NA	NA
caught, was actually innocent sent shockwaves through the FBI.	3	NA
championed, was acknowledged.	2	NA
cherished, was due to retire, was accepted sadly.	3	NA
claimed to have seduced, was a eunuch surprised nobody except the starlet	3	NA
claimed was his illegitimate son, had invented a covid cure created waves of relief around the world 	3	NA
complained about was going to be sacked.	2	NA
contacted had no children was incorrect.	3	NA
copied, was not very good.	2	NA
couldnt trust.	1	NA
critised was really a woman, amazed everybody.	3	NA
deemed fit was ruled unsafe by the medical board	2	NA
depictted was his work, astounded everyone.	3	NA
despised brought forth feelings of animosity.	2	NA
despised, was going to move out of town, made her day. 	3	NA
did grocery shopping for was her father was one she couldn't quite believe.	3	NA
didn't trust at all.	1	NA
disliked had committed larceny was pleasing.	3	NA
disliked turned out to be true. 	2	NA
disliked, had smuggled money for the mafia got him fired.	3	NA
disliked, was going to retire was welcomed warmly by everyone.	3	NA
disliked, was powerful, was rejected by everyone. 	3	NA
disliked, was stealing from the business, was well known.	3	NA
distrusted. was a millionnaire was correct.	3	NA
donated millions to was that after all his hard work, he would never amount to anything at all.	2	NA
drowned trying to save himself is sad.	2	NA
employed.	1	NA
encountered was headlines in the news	2	NA
exposed was indeed a mobster.	2	NA
failed to pay, is actually a millionaire stunned the taxi company owner.	3	NA
fancied but was too ashamed to admit.	1	NA
fancied contradicted his views.	2	NA
favoured had cheated within the exams infuriated many.	3	NA
fell for had scammed her of her money 	2	1
fell in love with 	1	NA
fell in love with had done this before	2	1
fell in love with was a shock to all.	2	2
fell in love with was not true	2	NA
felt should stay in hospital understood his fear.	2	1
felt was unstable used running as a form of therapy was incorrect.	3	NA
focussed their reporting on had turned over a new leaf was met with disbelief by concerned parties.	3	NA
found in the lined basket, was actually a nice guy...or was he?	2	1
found naked in the woods had socks on brings doubts about whether he is the sockless killer. 	3	NA
frequented had some weight	2	1
gave a million pounds to was that it would be put to good use.	2	2
gave the all clear to, was shocking after he committed suicide.	2	2
give a gift too was very grateful	2	1
had a crush on, was all true.	2	2
had accosted was noted by the police officer.	2	2
had accused of fraud, had been innocent, was never believed by the lawyer. 	3	NA
had admired was moving across the country was shocking.	3	NA
had always thought highly of had been sacked surprised him.	3	NA
had an interest in was fairly below par.	2	1
had an issue with was tampered. 	2	1
had arrested but was now free to go, was of concern to the victims.	2	2
had arrested was in no way linked to any previous crimes.	2	2
had asked for advice about baking had also taken the same shortcut when making pavlovas did not come as a surprise to those who knew both of them intimately.	3	NA
had attacked where mortally wounded surprised the criminal.	3	NA
had bankrolled was that the artist had made a huge mistake	2	2
had been bribing was corrupt was news to many people	3	NA
had been sleeping with was in fact married made the situation much worse	3	NA
had believed would be the next Mozart, was in fact pretending to play the instrument, came quickly. 	3	NA
had bought his goods from was in trouble with the police 	2	1
had bribed in exchange for legal immunity, sent shockwaves through Washington. 	2	NA
had collaborated with had secretly released the artwork was devastating	3	NA
had declared clinically insane was that he'd eaten a squirrel he'd caught in the garden.	2	NA
had deemed unfit to run the race, was in fact fully functioning, was enough to spur her on to complete it in her best time. 	3	NA
had disgraced in public was not even a real person was no longer a surprise to those who had been following the destruction of democratic leadership in America.	3	NA
had employed was in love with a journalist did little for their working relationship.	3	NA
had entrusted his entire estate to, had been squandered, made the rounds in the local press. 	3	NA
had entrusted with the nuclear weapons was a Russian spy shocked the nation.	3	NA
had examined, is bionic has been discredited	3	NA
had given money to, was not good enough, showed when he started playing	3	NA
had given the freedom of the city, was telling was hilarious and spellbinding as he reflected on his life's mission to discover the meaning of life. 	3	NA
had gotten a ride with was finishing his shift was confusing.	3	NA
had had an affair, was not known not by many. 	2	NA
had hired was taking bribes was shocking.	3	NA
had initially accused of racist language was unsurprising to no one.	3	NA
had just invested $100 000 in her business, was actually Donald Trump's granddaughter.	2	NA
had killed was leaked to local newspaper.	2	NA
had known in his childhood, shocked the locals to the core.	2	NA
had longed for had continued to be reported on for another news cycle. 	2	NA
had made complete a paper for him did not need to cheat but needed the money.	NA	NA
had marked with a paintbrush was a teacher was provided by email. 	3	NA
had mentored was acting charitably was encouraging.	3	NA
had met at the conference, had lied to him, grew and grew as the meeting went on. 	3	NA
had met last year was the same person who had contacted her in her previous job no longer surprised her.	3	NA
had met with was graduating was welcome news.	3	NA
had met with was, in fact, winning the election seemed false.	3	NA
had nearly drowned during the rescue was in fact an Olympic champion surprised many	3	NA
had no respect for was that he had similar ambitions to most.	2	NA
had only just appointed, was found to have leaked documents to the Russians, was the final straw. 	3	NA
had over for dinner last night, may have food poisoning...I think it was the Pate.	2	NA
had overlooked, was in fact a secret millionaire, was indeed shocking. 	3	NA
had paid a discounted rate for her nose job, had installed a secret camera in her face, was all she needed to take him down. 	3	NA
had paid the funeral for were deeply upset.	2	NA
had personally requested operate on her.	NA	NA
had picked on would always go to university turned out not to be true	3	NA
had provided with new equipment had sabotaged their fellow competitors came as quite a disappointment. 	3	NA
had punched, wanted to withdraw charges was totally unexpected.	3	NA
had put in charge was a good man was untrue	3	NA
had questioned about the redecoration of the changing rooms was generally reliable  had been called into question by his obnoxious opinions about the colour scheme.	3	NA
had recently decorated, was gay, was false.	3	NA
had recently promoted, was duty-bound to first protect the citizen's before his own team, was a difficult concept to accept.	3	NA
had recruited for the chamber choir would be good enough was found to be broadly true, although their timekeeping was unconventional.	3	NA
had rescued from the crashed car had caused the accident, rather than having been an innocent victim, became more and more disquieting to her.	3	NA
had seen acted strangely on a regukar basis.	1	NA
had seen sleeping at his desk had worked late that night excused him from blame.	3	NA
had seen taking drugs, meant that he wasn't fit for the role.	2	NA
had sex with, was gay, was not true.	3	NA
had spoken out against was that he was mentally ill	2	NA
had spoken to was a fraudster was upsetting	3	NA
had spoken to was confirmed.	2	NA
had stabbed, caused a lot of grief.	2	NA
had stolen from made was presumptuous and accusatory	2	NA
had stolen the book from, was going to drop charges was met with surprise by everyone in the town. 	NA	NA
had suggested knew he was not tom be trusted all along	2	NA
had surgery from, was actually a car mechanic.	2	NA
had suspected for a long time, turned out to be fake.	2	NA
had swindled was onto him was worrisome, but unlikely to come to fruition.	3	NA
had taken a vested interest in was that his product would be successful	2	NA
had tried to contact was unresponsive lead to the complaint being escalated. 	3	NA
had trusted with all his work was actually a fraud.	2	NA
had trusted with their children, was in fact a molester, was a scandal. 	3	NA
had undercover dealings with was enough to get him fired	2	NA
had vilified was dead was a welcome one.	3	NA
had villified for years was actually innocent was surprising to all	3	NA
has spoken to had been fired was upsetting.	3	NA
hated was leaving.	2	NA
hated was that he was incompetent.	2	NA
hated, turned out to be right all along.	2	NA
hated, was getting promoted annoyed the employee.	3	NA
hated, was rich angered the public.	3	NA
he had operated on had complications caused the surgeon to question himself.	3	NA
helped was corrupt.	2	NA
helped was stealing from him.	2	NA
hired had escaped	2	NA
hired to promote his product would be worth the money was false.	3	NA
hired was worth the money was so true	3	NA
hired, was an undercover police dog.	2	NA
hit with a book seemed angry.	2	NA
hit, was an imposter can as a shock to the hospital	3	NA
hurt was broadcast worldwide. 	2	NA
hurt went as such.	2	NA
identified had now been apprehended	2	NA
identified was convicted.	2	NA
identified was doing illegal dealings was widely shared	NA	NA
incepted as he ran from the shop with a handful of bestsellers, was in on the scheme, was widely held by the local villagers. 	NA	NA
interviewed was a really nice guy is very insensitive.	NA	NA
investigated, was actually let free by authorities.	NA	NA
kicked in the knee died was sad.	NA	NA
kidnapped, said they had a lovely time. The free pizza was delicious. 	NA	NA
killed was actually an undercover agent from Russia.	NA	NA
kissed in the closet suprised everyone, no one saw little Bart hiding under the mop.  	NA	NA
kissed never told her he was married was a shock.	NA	NA
knew as Bible Bill, sadly passed away in his sleep, aged 88.	NA	NA
knew told. 	NA	NA
knew was corrupt, was damning. 	NA	NA
knew was difficult to write.	NA	NA
knew was visiting the town 	NA	NA
knocked down the stairs gave him a promotion.	NA	NA
like is blind but very good	NA	NA
liked  was a great man	NA	NA
liked, was going to do well in life, was an optimistic one.	NA	NA
listened to every Sunday was correct	NA	NA
loathed won anther reelection	NA	NA
looked after was a shock to all.	NA	NA
looked after.	NA	NA
looked at with suspicion, was talking hot air, was more than an inkling.  	NA	NA
loved because hes was a leadership success	NA	NA
loved dearly had sadly passed away.	NA	NA
loved was a criminal	2	NA
loved was corrupt.	2	NA
loved, is that she played a concerto in front of thousands	2	NA
mentored had won the PhD place brought him much joy.	3	NA
met for dinner had created a new invention 	2	NA
met in Las Vegas, was bound to cause problems. 	2	NA
named, is female, has been made	2	NA
never trusted.	1	NA
of the US government was chasing, was factually inaccurate	2	NA
offended was most upset	2	NA
only had eyes for was gay, devastated her	3	NA
opposite had been observing was very lonely 	NA	NA
owed his life to was a criminal was hard to believe.	3	NA
owed his life to, had not long left to live, was rejected by everyone.	3	NA
paid to complete fake studies about the air pollution in the city, came out and caused a public outcry. 	2	NA
paid, had completed a poor job was not surprising.	3	NA
paid, ripped him off.	2	NA
painted some great works of art  was  disabled  	2	NA
pay handsomely, tuned out he was miming the whole time.	2	NA
personally appointed, had no military experience didn't stop him fro doing an excellent job.	NA	NA
picked on, left school was a very sad one. 	3	NA
posed for was that he had gotten help from his friend and didn't actually know how to make sculptures.	NA	NA
preceeded was talented.	2	NA
received thanks from, started his career at his level.	2	NA
relied on, had skipped the country has been confirmed	3	NA
relied upon, saved his life was what kept the swimmer going. 	3	NA
remarked upon was unfounded.	2	NA
reported missing, was actually away visiting family in the south of the county, was a relief to those frantically searching for him.	3	NA
rescued, shocked many.	2	NA
respected was very upsetting.	2	NA
revered, was that he was a conman.	2	NA
robbed was an invalid, meant nothing.	3	NA
said did not do his own work	1	NA
said had hit him, was untrue.	2	NA
said had merely tripped, was physically unhurt was incorrect.	3	NA
said was dead turned out to be false. 	2	NA
said would never be able to run again unless he faced his fears of being chased by a dog, could actually win the race is phenomenal.	3	NA
saved, was actually still infected lead everyone to be scared about the possibility they were affected.	3	NA
scolded, was that he was off the wagon again.	3	NA
secretly despised was the top of the class was a matter of constant irritation to her. 	3	NA
seduced was one told for many years	2	NA
sent apology letters to is very surprising.	2	NA
served, was actually an imposter.	2	NA
singled out had told a teacher was shocking.	3	NA
slated turned out to be fake news.	2	NA
splashed across headlines was in fact guilty was met with cheers.	3	NA
spoke of, was that she was leading the assembly.	2	NA
spoke with did anything inappropriate will be investigated. 	3	NA
spoke with on the phone with was leaving for a new job soon filled them with sadness.	3	NA
sponsored was actually a llama came when he started spitting on people at the opening ceremony. 	3	NA
sponsored, blew up the lab was considered in his employment review	3	NA
stole books form is homeless  	2	NA
stole from was about a theft from a book shop	2	NA
supported had built an underground lair is entirely false!	3	NA
supported was mislaid in the headmaster's office	2	NA
supported was secretly his father.	2	NA
supported was the winner, pleased the sponsors.	3	NA
supported, was actually a famous violinist.	2	NA
supported, would go on to be successful, was finally validated.	3	NA
suspected, only added to his negative opinion.	2	NA
suspected, was corrupt came as a surprise to no-one	3	NA
suspected, was doing illegal business, was incredibly revealing. 	3	NA
targeted shows his brutal methods.	2	NA
targeted was taken into consideration	2	NA
taunted was actually innocent.	2	NA
thanked for helping to save son from the dangerous rip current, had just returned to duty after recovering from a shark bite herself. 	2	NA
thanked, was afraid of water.	2	NA
this event has gone through.	NA	NA
thought had broken his leg was allergic to penicillin could've been a real issue	3	NA
thought she had saved, has died upset us all	3	NA
thought was cheating was sadly true.	2	NA
thought was not who he said he was	NA	NA
thought was rich actually had no money	2	NA
thought was spied in the corridor, led to an interesting discussion with the nurses.	2	NA
thought was under privileged, may in fact be very wealthy made for an amusing meeting	3	NA
touched was not responsive did not mean that they stopped touching them.	3	NA
treated actually made up the t-rex in its garden surprised no one.	3	NA
treated for depression made headline news in the Psychiatrists Journal.	2	NA
treated was being abused turned out to be correct.	3	NA
treated was dead was incorrect.	3	NA
tricked was actually  a man	2	NA
tried to passify was clearly hyperactive	2	NA
trusted turned out to be a false. 	2	NA
trusted turned out to be a lie. 	2	NA
trusted, was a shock to his colleagues.	2	NA
trusted,was gay came as a shock	3	NA
used, was actually a fraud.	2	NA
victimized had died, sent the bully into am downward spiral and he committed suicide.	3	NA
voted for was the best performer	2	NA
wanted to meet was due to attend the party.	2	NA
wanted to meet was unable to attend irritated the diplomat.	3	NA
warned not to run still went ahead	2	NA
was actually mad	1	NA
was attracted to, turned out to be correct.	2	NA
was examining had seen the car accident made the medic feel sorry for her.	3	NA
was helping was so close to breaking world records.	2	NA
was helping, was actually crying because of being scared by being lost, dawned on the person standing next to her.	3	NA
was in a relationship with was met with disdain.	2	NA
was in love with was gay turned out to be true.	3	NA
was in love with.	1	NA
was indebted to had been a lifeguard in previous years was unsurprising.	3	NA
was interviewing had anxiety was a surprise to her.	3	NA
was meeting with, did not lose his temper was surprising.	3	NA
was not true	1	NA
was operated on by had signed his insides was gross.	3	NA
was opposing had cheated on his wife was shocking.	3	NA
was rescued by was actually married was very sad for the swimmer, who was single and interested. 	3	NA
was rude to, was full of profanities.	2	NA
was suing for malpractice, was under the influence whilst operating, shocked the medical community.	3	NA
was the bride	NA	NA
was tracking might be living in Manchester turned out to be correct.	3	NA
was treating actually enjoyed running was found to be false	3	NA
was trying to bribe was that she was as corrupt as her friend had said.	2	NA
was trying to care for.	1	NA
was working with had been involved in prior fraud was shocking to him.	3	NA
was working with led to both of their arrests. 	2	NA
went to, was actually not qualified.	2	NA
worked alongside was retiring shocked the world.	3	NA
worked for just got out of prison 	2	NA
worked for was criminals	NA	NA
worked with knew how to write a brief was incorrect.	3	NA
 thought to be inattentive, was wrong.	2	NA
Accosted has been in the neighborhood for a while. 	2	NA
Accused of falsified documents is genuine. 	3	NA
Accused of theft was innocent, caused the teacher her job.	3	NA
Arrested for was a heinous crime. 	2	NA
Assaulted had a broken nose changed the charges.	3	NA
Backed up was a good singer but yet the start let stood out in the performance. 	2	NA
Called on was cheating on her essays could not be ignored.	3	NA
Confided in was actually a police enformant opened the case.	3	NA
Despised was at it again.	2	NA
Did not trust was now out in the open/	2	NA
Evaluated, was so horrifying that people in the jury teared up.	3	NA
Had been treating died after completing it was a great disappointment.	3	NA
Had come to before was the thief was a shock to everybody.	3	NA
Had fallen in love was tricking her was not true.	3	NA
Had handcuffed ten minutes before was read out.	1	NA
Had heard of was released from jail was slightly worrying.	3	NA
Had rewarded for saving the child went viral.	3	NA
Had worked for before, was now on a different path, disturbed him deeply.	3	NA
Helped in his arrest gained global prominence. 	2	NA
Helped in transferring huge amount of money to an offshore account is enough to indict both of them. 	2	NA
Hired made was in tandem with the event that occured last year. 	NA	NA
Hit in the accident were deceased raised his charges to first degree murder.	3	NA
Knew from university had committed murder came out in public.	3	NA
Knew was a crook did not go down well.	2	NA
Knew was incorrect.	2	NA
