completion	workerid	condition	item	sentence1	slide_number	verbs	whichVerb
38	cometió el delito, se encuentra en la estación de policías, muy bien resguardada.	67	SC_RC	MEDIUM_3	La prueba de que el taxista que 	30	3	NA
39	cometió esos crímenes es él, se basa en su comparación con la grabación de seguridad.	29	SC_RC	MEDIUM_2	El reconocimiento de que el mafioso que 	37	NA	NA
40	cometió fraude no fuera castigado, provocó una revuelta entre los accionistas.	50	SC_RC	MEDIUM_11	El hecho de que el empresario que 	18	3	NA
41	comía 7 veces al día, es obeso es innegable 	16	SC_RC	MEDIUM_8	La certeza de que el director que 	16	3	NA
42	Compré se haya roto es porque lo tiré por la ventana	60	SC_RC	MEDIUM_11	El hecho de que el librero que 	8	3	NA
43	compro la edicion primera era increible.	10	SC_RC	MEDIUM_6	El hecho de que el librero que 	42	2	NA
44	compró su compañía la mantuviera intacta, se desvaneció casi instantáneamente.	36	SC_RC	MEDIUM_1	El sueño de que el empresario que 	28	3	NA
45	compro un Stradivarius y luego lo perdio en el metro, es falsa.	41	SC_RC	MEDIUM_0	La historia de que el violinista que 	40	NA	NA
46	conoci el Viernes me vino a ver me asusto. 	21	SC_RC	MEDIUM_4	El sueño de que el extremista que 	26	3	NA
47	conocían todos, era parte de una banda, era muy fuerte	43	SC_RC	MEDIUM_7	El convencimiento de que el vecino que 	41	3	NA
48	conocimos fuma la tengo aquí. 	20	SC_RC	MEDIUM_4	La prueba de que el director que 	23	3	NA
49	consiguió meter la empresa en bolsa fue hecho por el jefe	55	SC_RC	MEDIUM_1	El reconocimiento de que el empresario que 	22	2	NA
50	contenía los mejores libros es mentira. 	3	SC_RC	MEDIUM_7	La convicción de que el librero que 	11	2	NA
51	contrataba menores era muy turbia.	57	SC_RC	MEDIUM_3	La realidad de que el empresario que 	38	2	NA
52	contrataron para la pelicula fue condenado por abuso podría provocar que el proyecto fuera cancelado.	53	SC_RC	MEDIUM_2	El reporte de que el director que 	34	3	NA
53	contrató a un sicario para matar al líder de la mafia enemiga la dio un testigo que escuchó la conversación por teléfono.	72	SC_RC	MEDIUM_1	La información de que el mafioso que 	15	NA	NA
54	contrato era triste era muy evidente.	8	SC_RC	MEDIUM_8	La impresión de que el violinista que 	8	3	NA
55	controlaba la ciudad era alguien increíblemente malvado estaba equivocada, en realidad el era un hombre muy piadoso, pero nació en este entorno y debía estar a cargo de sus subordinados.	37	SC_RC	MEDIUM_7	La creencia de que el mafioso que 	35	NA	NA
56	corrieron fue el culpable era erróneo. 	20	SC_RC	MEDIUM_7	El convencimiento de que el empleado que 	11	3	NA
57	cree en su religion a morir es fanatismo.	25	SC_RC	MEDIUM_6	La hipótesis de que el extremista que 	30	2	NA
58	creía en la igualdad de genero, era importante 	43	SC_RC	MEDIUM_5	La señal de que el político que 	18	2	NA
59	creo la estatua de David era un mentiroso es falso.	10	SC_RC	MEDIUM_8	El rumor de que el escultor que 	40	3	NA
60	creo la vacuna del covid ya la tenia lista emociono al mundo entero. 	39	SC_RC	MEDIUM_5	La información de que el científico que 	31	2	NA
61	creó obras de arte maravillosas es un artista, es real. 	3	SC_RC	MEDIUM_8	El convencimiento de que el escultor que 	16	3	NA
62	cuida de las plantas envenenó a un animal es falso.	4	SC_RC	MEDIUM_6	El rumor de que el vecino que 	31	3	NA
63	daba la misa estaba en lo correcto.	30	SC_RC	MEDIUM_5	La ficción de que el predicador que 	42	2	NA
64	deambula por las tres de la mañana es un acosador tiene merito	16	SC_RC	MEDIUM_9	La hipótesis de que el taxista que 	42	3	NA
65	decía ser inocente fue finalmente encontrada.	14	SC_RC	MEDIUM_3	La prueba de que el criminal que 	7	2	NA
66	decidio pasar leyes contra las drogas era drogadicto, fue probado por un informante anonimo.	40	SC_RC	MEDIUM_6	El rumor de que el senador que 	20	3	NA
67	declinó la oferta estaba ampliamente comprometido con otros trabajos para los próximos meses da muestra de su notable celebridad.	1	SC_RC	MEDIUM_11	La conclusión de que el escultor que 	42	3	NA
68	dejó olvidada ayer ha sido regresada a su dueño	9	SC_RC	MEDIUM_8	La creencia de que el CEO que 	16	2	NA
69	denuncio el caso haya sobrevivido es increible.	25	SC_RC	MEDIUM_7	El hecho de que la víctima que 	28	3	NA
70	desaparecía de noche era un criminal fue aceptada por los demás miembros del hospital.	0	SC_RC	MEDIUM_6	La certeza de que el cirujano que 	33	3	NA
71	desapareció estaba muerta sonaba muy fuerte.	57	SC_RC	MEDIUM_8	El rumor de que el víctima que 	42	3	NA
72	Desapareció, finalmente es que fue secuestrado y asesinado.	69	SC_RC	MEDIUM_0	La realidad de que el corredor que 	12	2	NA
73	desarrolló la vacuna es un genio debe ser cierta. 	20	SC_RC	MEDIUM_8	La convicción de que el científico que 	36	3	NA
74	descubrió la cura del cáncer, era falsa.	62	SC_RC	MEDIUM_1	La historia de que el científico que 	9	2	NA
75	descubrió la vacuna fue secuestrado nos sorprendió a todos.	31	SC_RC	MEDIUM_11	La certeza de que el científico que 	27	3	NA
76	descubrió la vacuna, no ha sido reconocido, es inexplicable	69	SC_RC	MEDIUM_1	La señal de que el científico que 	28	3	NA
77	deseaba abandonar la empresa lo tenía decidido desde hacía tiempo fue haber vendido todo su paquete de acciones en los meses anteriores.	1	SC_RC	MEDIUM_5	La prueba de que el CEO que 	13	3	NA
78	deseaba atacar el Palacio Presidencial tenía planos del interior resultó ser falsa.	1	SC_RC	MEDIUM_1	La información de que el extremista que 	11	3	NA
79	despidió a 5 empleados es en realidad un infiltrado, me pone los pelos de punta.	62	SC_RC	MEDIUM_8	El rumor de que el CEO que 	34	3	NA
80	despidió a esos maestros injustificadamente, fue muy mala.	38	SC_RC	MEDIUM_11	La impresión de que el director que 	37	NA	NA
81	detuvo la tercera guerra mundial es que fue un espía alemán. 	16	SC_RC	MEDIUM_2	La realidad de que el comandante que 	12	2	NA
82	dice el cliente siempre tiene la razón, enseña a sus trabajadores que su opinion no tiene valor. 	7	SC_RC	MEDIUM_10	La creencia de que el vendedor que 	14	2	NA
83	difundía las noticias más recientes de la iglesia posiblemente tenía una enfermedad terminal resultó ser real.	48	SC_RC	MEDIUM_2	El reporte de que el predicador que 	32	3	NA
84	digire la escuela es falso.	17	SC_RC	MEDIUM_0	El reconocimiento de que el director que 	37	2	NA
85	dijo esas cosas de mi madre, es que es un hombre muy malo.	23	SC_RC	MEDIUM_0	La realidad de que el predicador que 	19	2	NA
86	dio el sermon no sabía lo que hacía fue claro cuando despidió a la ciudad equivocada al final	12	SC_RC	MEDIUM_4	El reconocimiento de que el predicador que 	30	3	NA
87	dirige esta compañía hablaba, era muy complicada de entender.	36	SC_RC	MEDIUM_2	La ficción de que el CEO que 	12	2	NA
88	dirige la compañía puede ser el propietario de la misma. 	3	SC_RC	MEDIUM_11	La hipótesis de que el CEO que 	35	2	NA
89	dirigió aquella película tan famosa de vaqueros, era racista, fue demostrado y se le puso una sanción.	74	SC_RC	MEDIUM_8	El convencimiento de que el director que 	21	3	NA
90	dirigió las operaciones no sabía de la existencia de las bombas atómicas.	63	SC_RC	MEDIUM_1	El reporte de que el comandante que 	37	2	NA
91	diseñó la bomba atómica fue asesinado está respaldada por sus compañeros y familiares más cercanos.	53	SC_RC	MEDIUM_10	La hipótesis de que el científico que 	24	3	NA
92	dominaba la ciudad tiene de que le han traicionado es cada vez mayor.	4	SC_RC	MEDIUM_11	El convencimiento de que el mafioso que 	41	3	NA
93	donaba la mitad de su salario a la caridad ha salido en todos los periódicos. 	26	SC_RC	MEDIUM_3	La información de que el empresario que 	12	2	NA
94	donaba millones a la caridad, era en realidad un estafador, decepciono a miles. 	16	SC_RC	MEDIUM_5	La información de que el empresario que 	21	3	NA
95	dormía alegremente había subido a aquel arbol resultaba inverosímil desde el principio.	14	SC_RC	MEDIUM_0	La ficción de que el niño que 	21	3	NA
96	editaba genéticamente seres humanos.	64	SC_RC	MEDIUM_3	La ficción de que el científico que 	31	2	NA
97	ejecutó esa orden estaba cegado por sus emociones no abandonó al jurado en toda la sesión sin importar quien pudiera hablar en su favor.	53	SC_RC	MEDIUM_11	El convencimiento de que el comandante que 	21	3	NA
98	el director esperaba había llegado, fue errónea. 	49	SC_RC	MEDIUM_1	La señal de que el empresario que 	29	2	NA
99	el había perdido la batalla fue muy rápida, en el fondo el sabía que esta era una batalla perdida desde el inicio.	37	SC_RC	MEDIUM_10	La conclusión de que el comandante que 	13	NA	NA
100	él no había cometido el crimen era tanto que la policía llego a pensar que tal vez tenía una doble personalidad.	37	SC_RC	MEDIUM_6	El convencimiento de que el criminal que 	32	2	NA
101	elegimos resuelva los problemas del pueblo, seguirá siendo un sueño.	50	SC_RC	MEDIUM_1	El sueño de que el político que 	16	2	NA
102	empezó a tocar desde niño es muy impresionante	9	SC_RC	MEDIUM_4	La historia de que el violinista que 	13	2	NA
103	empieza una carrera de ingenieria sale con trabajo es mentira	2	SC_RC	MEDIUM_2	La realidad de que el estudiante que 	33	3	NA
104	en aquel tiempo dirigía nuestra empresa nos llevaría al éxito fue derrumbándose con el pasar de los años.	48	SC_RC	MEDIUM_10	La convicción de que el director que 	19	3	NA
105	encontramos le perteneciera a un famoso, no parece ir por buen camino.	54	SC_RC	MEDIUM_7	La hipótesis de que el librero que 	14	3	NA
106	encontró el cuerpo de la anciana parece ser falso.	45	SC_RC	MEDIUM_1	El reporte de que el vecino que 	19	2	NA
107	encontró la cura a la enfermedad consistía solo en un diploma.	45	SC_RC	MEDIUM_3	El reconocimiento de que el científico que 	14	2	NA
108	encontro la cura para el cancer ha dado la vuelta al mundo.	25	SC_RC	MEDIUM_3	La información de que el científico que 	33	2	NA
109	engaña a los creyentes, es algo realmente interesante para todos. 	64	SC_RC	MEDIUM_11	El hecho de que el predicador que 	19	2	NA
110	engañó al hombre, era real 	43	SC_RC	MEDIUM_8	La convicción de que el embaucador que 	15	2	NA
111	era muy violento con los demás.	64	SC_RC	MEDIUM_9	La impresión de que el comandante que 	29	2	NA
112	era tan grande, musculoso y valiente, sólo quedó en eso: ficción.	67	SC_RC	MEDIUM_1	La ficción de que el salvavidas que 	13	2	NA
113	es amigo del jefe sube más rápido no es tan ficción como parece.	27	SC_RC	MEDIUM_0	La ficción de que el empleado que 	12	3	NA
114	es callado, sufre depresión.	28	SC_RC	MEDIUM_5	La señal de que el niño que 	22	2	NA
115	es corrupto, puede llegar a ser verdadera.	28	SC_RC	MEDIUM_10	La convicción de que el senador que 	38	2	NA
116	es malo es correcta. 	21	SC_RC	MEDIUM_6	La convicción de que el político que 	32	2	NA
117	es malvado y mata a sus pacientes puede ser real	35	SC_RC	MEDIUM_2	La ficción de que el cirujano que 	12	2	NA
118	es muy platicador, me tiene sin cuidado.	3	SC_RC	MEDIUM_0	La realidad de que el taxista que 	13	2	NA
119	es vegetariano corre mucho mas, es cuestionada.	41	SC_RC	MEDIUM_1	La realidad de que el corredor que 	12	NA	NA
120	escapó de la ley tendría que ser actualizado una vez más.	0	SC_RC	MEDIUM_2	El reporte de que el librero que 	30	2	NA
121	escogieron cumplió sus expectativas es necesario para mantener la motivación que necesita para continuar la campaña.	53	SC_RC	MEDIUM_0	El reconocimiento de que el senador que 	17	3	NA
122	escribe muchos libros es un embustero es muy importante de ver.	27	SC_RC	MEDIUM_3	La señal de que el predicador que 	28	3	NA
123	escribio la cancion esta en el website.	13	SC_RC	MEDIUM_0	La información de que el violinista que 	38	2	NA
124	Esculpió el David de Miguel Angel es un referente es completamente aceptado por toda la sociedad artística 	19	SC_RC	MEDIUM_11	El convencimiento de que el escultor que 	12	3	NA
125	está corriendo fuma no es muy buena.	22	SC_RC	MEDIUM_11	La impresión de que el corredor que 	15	3	NA
126	está en el salón esté lleno de libros que me he leído se cumplirá algún día.	72	SC_RC	MEDIUM_4	El sueño de que el librero que 	19	3	NA
127	está en la biblioteca esté a la venta sorprendió a todos 	24	SC_RC	MEDIUM_4	La información de que el librero que 	37	3	NA
128	Está en libros supera a realidad	60	SC_RC	MEDIUM_2	La ficción de que el embaucador que 	34	2	NA
129	Está en su oficina aun no está listo	60	SC_RC	MEDIUM_1	El reporte de que el director que 	26	2	NA
130	está en una clase se está quedando dormido es que empiece a parpadear cada vez más lento y más repetidamente.	72	SC_RC	MEDIUM_2	La señal de que el estudiante que 	24	3	NA
131	está haciendo las pruebas, esté falsificando los resultados, tiene mucho sentido.	54	SC_RC	MEDIUM_1	La información de que el científico que 	38	3	NA
132	esta propiedad estaba fuera de sus manos, no lo podia creer casi había obtenido millones.	37	SC_RC	MEDIUM_2	El reconocimiento de que el embaucador que 	40	3	NA
133	está supervisando a los alumnos, puede con el cargo, cada vez queda más clara.	54	SC_RC	MEDIUM_11	La certeza de que el director que 	25	3	NA
134	esta tocando es el hijo de tu amiga	18	SC_RC	MEDIUM_9	La certeza de que el violinista que 	32	2	NA
135	Está vinculado con otras cosas	60	SC_RC	MEDIUM_8	El rumor de que el CEO que 	12	1	NA
136	estaba a cargo no sancionó a los rebeldes es prueba de que no estaba calificado para este trabajo	12	SC_RC	MEDIUM_10	El hecho de que el comandante que 	28	3	NA
137	estaba al frente había mostrado en tal situación logró sorprender a todos los presentes.	0	SC_RC	MEDIUM_9	La convicción de que el empresario que 	13	3	NA
138	estaba aqui hoy erea dificil	13	SC_RC	MEDIUM_7	La sospecha de que el mafioso que 	36	2	NA
139	estaba con nosotros de creer que eramos gallinas, a veces nos hacía reir	55	SC_RC	MEDIUM_4	La ficción de que el comandante que 	31	2	NA
140	estaba de servicio los domingos nunca decía la verdad, le pareció a todos los presentes aterradora.	6	SC_RC	MEDIUM_7	La hipótesis de que el predicador que 	16	3	NA
141	estaba de turno fuera competente se disolvió al verlo caminar por la puerta.	50	SC_RC	MEDIUM_10	La convicción de que el cirujano que 	30	3	NA
142	estaba ebrio no había realizado bien el procedimiento, fue presentada ante los jurados.	6	SC_RC	MEDIUM_5	La prueba de que el cirujano que 	30	3	NA
143	estaba en aquella esquina había estafado a dos ancianas llegó a la policía.	14	SC_RC	MEDIUM_4	El reporte de que el embaucador que 	27	3	NA
144	estaba en el agua golpeo a su amigo era falsa	55	SC_RC	MEDIUM_11	La hipótesis de que el niño que 	13	3	NA
145	estaba en el piso fuera la mujer que buscábamos resultó ser correcta.	50	SC_RC	MEDIUM_6	La impresión de que la víctima que 	38	2	NA
146	estaba en la calle era Juan Lopez, es mentira ya que el sigue en la carcel.	7	SC_RC	MEDIUM_11	El convencimiento de que el criminal que 	30	2	NA
147	estaba en la calle, estaba enfermo, era alta	46	SC_RC	MEDIUM_9	La sospecha de que el niño que 	15	3	NA
148	estaba en la entrada, ha sido muy buena ya que parecia una persona muy amable.	7	SC_RC	MEDIUM_8	La impresión de que el embaucador que 	23	2	NA
149	estaba en la escena del crimen era cierta	55	SC_RC	MEDIUM_5	La prueba de que la víctima que 	7	NA	NA
150	Estaba en la plaza, ya lo habíamos visto antes, era muy fuerte.	69	SC_RC	MEDIUM_11	La convicción de que el vendedor que 	26	3	NA
151	estaba en pie era corrupto era clara.	14	SC_RC	MEDIUM_10	La certeza de que el político que 	15	3	NA
152	estaba en su puesto no habría llegado a tiempo para salvarle la vida fue afortunadamente errónea.	14	SC_RC	MEDIUM_7	La impresión de que el salvavidas que 	23	3	NA
153	estaba engañando a alguien.	30	SC_RC	MEDIUM_1	La señal de que el embaucador que 	26	1	NA
154	estaba escribiendo no esta listo.	13	SC_RC	MEDIUM_3	La ficción de que el comandante que 	41	2	NA
155	Estaba junto a mi me vio	60	SC_RC	MEDIUM_5	El señal de que el vecino que 	39	2	1
156	estaba participando podía ganar era baja, según el juez	46	SC_RC	MEDIUM_8	La convicción de que el violinista que 	13	3	NA
157	estaba siendo acusado era culpable, yacía en su computadora	46	SC_RC	MEDIUM_0	La prueba de que el empresario que 	20	3	NA
158	estaba siendo entrevistado era el hijo ilegitimo del presidente del país era un tema un tema contingente en redes sociales	46	SC_RC	MEDIUM_7	El hecho de que el CEO que 	37	3	NA
159	estaba siendo robado fue raro.	25	SC_RC	MEDIUM_4	El sueño de que el vecino que 	9	2	NA
160	estaba tras bastidores era para terminar la obra antes de lo establecido.	7	SC_RC	MEDIUM_1	La señal de que el director que 	40	2	NA
161	estaba vendiendo demasiado caro las cosas.	30	SC_RC	MEDIUM_10	La impresión de que el vendedor que 	7	NA	NA
162	estafaba a sus fieles era culpable está comenzando a extenderse.	14	SC_RC	MEDIUM_5	El reconocimiento de que el predicador que 	13	3	NA
163	estafó a los turistas era el culpable de que acabasen en la calle era la más acertada.	72	SC_RC	MEDIUM_7	La convicción de que el embaucador que 	13	3	NA
164	Estafó a más de mil personas era un genio, es algo que muy a nuestro pesar no podemos negar	69	SC_RC	MEDIUM_2	El reconocimiento de que el embaucador que 	16	3	NA
165	estafó a mis padres esté libre me parece un insulto a toda mi familia.	45	SC_RC	MEDIUM_10	El hecho de que el embaucador que 	23	3	NA
166	estafó a todos, es en realidad un fantasma.	3	SC_RC	MEDIUM_9	El rumor de que el embaucador que 	8	2	NA
167	estamos leyendo se pondrá triste la estamos sintiendo todos. 	20	SC_RC	MEDIUM_9	La impresión de que el librero que 	18	3	NA
168	este era un mal negocio no dejaba de atacarlo, las condiciones no podían ser tan a su favor.	37	SC_RC	MEDIUM_8	La impresión de que el empresario que 	27	NA	NA
169	estudia musica es mas inteligente, no esta basada en estudios cientificos.	41	SC_RC	MEDIUM_7	La hipótesis de que el niño que 	25	3	NA
170	estudie esudio es evidente durante el examen.	17	SC_RC	MEDIUM_8	La certeza de que el estudiante que 	22	NA	NA
171	estudió toda la noche es inspirador  	9	SC_RC	MEDIUM_1	La realidad de que el científico que 	23	2	NA
172	estuvo a punto de ganar la medalla fue que practicó mucho para llegar al mundial	55	SC_RC	MEDIUM_0	El reporte de que el corredor que 	34	2	NA
173	estuvo enfermo llegó a que era una tapadera para encubrir que realmente se dopaba.	5	SC_RC	MEDIUM_11	La conclusión de que el corredor que 	22	2	NA
174	estuvo implicado en el accidente fueron ciertas.	5	SC_RC	MEDIUM_9	La sospecha de que el niño que 	8	2	NA
175	exporta droga y vende armas, es buena persona, es falsa.	54	SC_RC	MEDIUM_10	La creencia de que el mafioso que 	22	3	NA
176	falleció ahogada era nula, una simple artimaña del asesino para hacer pensar de que era un suicidio.	5	SC_RC	MEDIUM_4	La prueba de que la víctima que 	17	2	NA
177	Falló en el naufragio estaba defectuoso, ha salido a la luz.	69	SC_RC	MEDIUM_4	El reporte de que el salvavidas que 	18	3	NA
178	fallo gravemente la operacion, es que se graduo con un diploma falso y ejercio medicina ilegalmente.	40	SC_RC	MEDIUM_3	La realidad de que el cirujano que 	41	2	NA
179	faltaba a la ópera era incompleta para realizar una acusación formal.	50	SC_RC	MEDIUM_5	La información de que el violinista que 	8	2	NA
180	fingía ser bueno para despistar a la policía la empezó a tener el comandante Pérez.	26	SC_RC	MEDIUM_7	La sospecha de que el mafioso que 	25	2	NA
181	firmo el contracto era impresionante.	10	SC_RC	MEDIUM_10	La certeza de que el empresario que 	23	2	NA
182	formó Apple, siguiera estando en vida, y que los iPhone no fueran una basura, esta descartado.	38	SC_RC	MEDIUM_1	El sueño de que el CEO que 	16	3	NA
183	forzó dichas reglas no se disculpara causó que los padres de familia cuestionaran sus habilidades en manejar una escuela.	0	SC_RC	MEDIUM_10	El hecho de que el director que 	24	3	NA
184	Fue acusado de pederastia, fue tomada con demasiada precipitación.	69	SC_RC	MEDIUM_8	La conclusión de que el predicador que 	37	2	NA
185	fue arrestado estaba lavando dinero	18	SC_RC	MEDIUM_0	El reporte de que el político que 	28	2	NA
186	fue arrestado por rescatar al niño, me sorprende.	54	SC_RC	MEDIUM_6	La convicción de que el salvavidas que 	42	2	NA
187	fue asesina era completamente inocente, se rompio tras evidencia que estaba involucrada en crimenes.	40	SC_RC	MEDIUM_8	La impresión de que la víctima que 	13	3	NA
188	fue asesinada era menor, asombro a todos	39	SC_RC	MEDIUM_11	La impresión de que la víctima que 	21	3	NA
189	fue asesinada sufrió mucho daño antes de morir	18	SC_RC	MEDIUM_5	La información de que la víctima que 	34	2	NA
190	fue atacada por el ladron fue la que disparo primero, debe ser esclarecida.	41	SC_RC	MEDIUM_9	La sospecha de que la víctima que 	28	3	NA
191	fue atracado ya ha sido entregado a mi superior.	4	SC_RC	MEDIUM_4	El reporte de que el vendedor que 	29	2	NA
192	fue contratado la semana pasada era flojo fue destruida esa mañana.	0	SC_RC	MEDIUM_7	La sospecha de que el empleado que 	35	3	NA
193	fue demandado por negligencia medica, no estaba capacitado, resultó acertada.	49	SC_RC	MEDIUM_6	La conclusión de que el cirujano que 	20	3	NA
194	fue despedido de la compañia por irrespetar a los clientes, no era mas que un rumor laboral.	40	SC_RC	MEDIUM_4	La ficción de que el vendedor que 	23	2	NA
195	fue despedido la semana pasada robó dinero ha sido comprobada	11	SC_RC	MEDIUM_10	La sospecha de que el empleado que 	25	3	NA
196	fue despedido por desacato se ha extendido por toda la empresa.	69	SC_RC	MEDIUM_10	El rumor de que el empleado que 	21	2	NA
197	fue despedido por robar era incorrecta	12	SC_RC	MEDIUM_5	La información de que el empleado que 	14	2	NA
198	fue elegido para la campaña, nunca asistió a una sola junta, resulto falso.	49	SC_RC	MEDIUM_2	El reporte de que el director que 	17	3	NA
199	fue elegido para la operación, no se presentaría, resultó acertada.	49	SC_RC	MEDIUM_0	La información de que el comandante que 	33	3	NA
200	fue eligido estubo muy mal.	15	SC_RC	MEDIUM_9	El hecho de que el senador que 	34	2	NA
201	fue encontrada en la escena del crimen era culpable fue obvia luego de la interrogaci ón.	31	SC_RC	MEDIUM_4	La prueba de que la víctima que 	25	3	NA
202	fue encontrada en las líneas del tren era su hija estaba basada en una historia que escuchó de pequeño.	45	SC_RC	MEDIUM_4	La ficción de que la víctima que 	39	3	NA
203	fue encontrada estubo alarmante.	15	SC_RC	MEDIUM_0	La ficción de que la víctima que 	11	2	NA
204	fue encontrado herido fue triste.	15	SC_RC	MEDIUM_5	La historia de que el empleado que 	21	2	NA
205	fue enterrado en las afueras de Las Vegas, era el más poderoso de la ciudad, fue inconclusa.	67	SC_RC	MEDIUM_9	La hipótesis de que el mafioso que 	42	3	NA
206	fue escogido estaba mal.	15	SC_RC	MEDIUM_7	La conclusión de que el político que 	13	2	NA
207	fue readmitido había agredido al alumno no era cierta.	14	SC_RC	MEDIUM_2	La información de que el director que 	18	3	NA
208	fundó la empresa es hoy su principal problema es algo que todos sus trabajadores sienten. 	45	SC_RC	MEDIUM_8	La certeza de que el CEO que 	29	3	NA
209	fundó su partido había causado el revuelto se extendió rápidamente.	14	SC_RC	MEDIUM_6	El rumor de que el extremista que 	33	3	NA
210	gana mucho dinero es una mala persona, aveces es falso ya que muchos de ellos donan su dinero a organizaciones de ayuda.	7	SC_RC	MEDIUM_6	La convicción de que el empresario que 	35	3	NA
211	ganara era cierta. 	21	SC_RC	MEDIUM_0	La señal de que el científico que 	39	2	NA
