condition	correct_answer	given_answer	item	rating	sentence	slide_number	workerid
2	Y	Y	9	4	The suggestion that the school principal who the teacher had an affair with was quoted in the newspaper.	38	1
filler	N	Y	filler	4	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	39	1
0	Y	Y	6	5	The evidence that the marketing whiz who the artist had hired was a fraud shocked everyone.	40	1
filler	N	Y	filler	5	The activist petitioned the sponsor about the bill who was speaking out against immigration.	41	1
2	Y	Y	3	3	The report that the alleged criminal who the officer arrested after the murder was bogus.	42	1
filler	Y	Y	filler	5	The reporter interviewed the actors about the movie.	43	1
2	Y	Y	0	4	The reminder that the old preacher who the parishioners fired yesterday proved to be true.	44	1
filler	Y	Y	filler	5	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	45	1
filler	N	Y	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	46	1
0	Y	Y	2	5	The rumor that the leading man who the starlet fell in love with would miss the show almost made her cry.	47	1
filler	Y	Y	filler	5	The homeowner consulted the architect about the house who was worried about being behind schedule.	48	1
filler	N	Y	filler	4	The principal questioned the member about the clique who was mouthing off to teachers.	49	1
filler	Y	Y	filler	5	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	50	1
filler	N	N	filler	4	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	51	1
filler	N	Y	filler	4	The delivery man left the package with two labels on the porch which were printed with an address.	52	1
filler	N	Y	filler	5	The publisher complimented the editors on the magazine.	53	1
0	Y	N	5	4	The thought that the young violinist who the sponsors backed financially abused drugs is likely true.	54	1
filler	N	Y	filler	5	The professor said that the student that the committee that was visiting picked would present at the conference.	55	1
filler	Y	N	filler	3	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	56	1
filler	Y	Y	filler	5	The agent approached the publicists about the photo-shoot.	57	1
filler	N	Y	filler	4	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	58	1
0	Y	N	8	2	The story that the famous sculptor who the painter admired more than anyone wasn't talented was completely untrue.	59	1
0	Y	Y	11	5	The belief that the college student who the professor accused of cheating was dropping the class made the professor happy.	60	1
filler	Y	Y	filler	3	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	61	1
filler	Y	N	filler	5	The chairman consulted the executive about the company who was playing golf at the country club.	62	1
2	Y	Y	10	5	The revelation that the marathon runner who the psychiatrist treated for his illness was ridiculous.	63	1
filler	N	Y	filler	5	The host complimented the author about the book who was being interviewed on all the talk shows.	64	1
filler	N	Y	filler	5	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	65	1
0	Y	Y	4	5	The confirmation that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	66	1
filler	Y	Y	filler	1	The principal criticized the instructors for the program.	7	2
filler	N	N	filler	4	The florist sent the flowers on the table to the boy that were very expensive.	8	2
filler	N	N	filler	4	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	9	2
0	Y	Y	10	3	The revelation that the young violinist who the sponsors backed financially abused drugs is likely true.	10	2
filler	N	N	filler	4	The parent called the teacher about the class who was giving bad grades to foreign students.	11	2
filler	N	N	filler	4	The critic complimented the director about the play who was asked to write the screenplay.	12	2
filler	N	N	filler	1	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	13	2
0	Y	N	1	2	The disclosure that the leading man who the starlet fell in love with would miss the show almost made her cry.	14	2
filler	Y	Y	filler	4	The chairman consulted the executive about the company who was playing golf at the country club.	15	2
filler	Y	Y	filler	1	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	16	2
filler	Y	Y	filler	4	The reporter approached the victim about the attack who was injured by the suicide bomber.	17	2
filler	N	N	filler	1	The student petitioned the professors regarding the course.	18	2
filler	Y	Y	filler	1	The agent approached the publicists about the photo-shoot.	19	2
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	20	2
filler	Y	Y	filler	3	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	21	2
2	Y	Y	4	1	The confirmation that the old preacher who the parishioners fired yesterday proved to be true.	22	2
filler	Y	Y	filler	1	The board of directors announced that the business acquisition strategy was proceeding as planned.	23	2
filler	Y	Y	filler	3	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	24	2
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	25	2
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	26	2
filler	N	N	filler	4	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	27	2
filler	N	N	filler	4	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	28	2
filler	Y	Y	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	29	2
filler	N	N	filler	4	The delivery man left the package with two labels on the porch which were printed with an address.	30	2
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	31	2
0	Y	Y	8	3	The story that the college student who the professor accused of cheating was dropping the class made the professor happy.	32	2
filler	Y	Y	filler	4	The sportscaster interviewed the captain about the team who was leading his team to the championship.	33	2
2	Y	Y	11	5	The belief that the school principal who the teacher had an affair with was quoted in the newspaper.	34	2
filler	N	N	filler	2	The officer cautioned the driver about the explorer who was talking on the phone while driving.	35	2
0	Y	Y	5	3	The thought that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	36	2
0	Y	Y	7	2	The information that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	37	2
filler	Y	Y	filler	4	The neighbor approached the owner about the dog who was building a doghouse over the property line.	38	2
2	Y	Y	0	5	The reminder that the suspected mobster who the media portrayed in detail turned out to be true.	39	2
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	40	2
2	Y	Y	9	5	The suggestion that the famous sculptor who the painter admired more than anyone was completely untrue.	41	2
2	Y	Y	3	5	The report that the marketing whiz who the artist had hired shocked everyone.	42	2
filler	N	N	filler	4	The host complimented the author about the book who was being interviewed on all the talk shows.	43	2
filler	N	N	filler	4	The salesman called the buyer about the rifle who was looking for antiques from the war.	44	2
filler	N	N	filler	1	The counselor consoled the students about the competition.	45	2
filler	Y	Y	filler	4	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	46	2
filler	N	N	filler	1	The two children walked slowly in front of their mother as they gradually approached the playground.	47	2
filler	Y	Y	filler	4	The librarian delivered the books with many photographs to the building which depicted horses.	48	2
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	49	2
filler	N	N	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	50	2
2	Y	Y	6	5	The evidence that the conservative senator who the diplomat opposed in the election really made him angry.	51	2
filler	N	N	filler	4	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	52	2
filler	Y	Y	filler	4	The homeowner consulted the architect about the house who was worried about being behind schedule.	53	2
filler	Y	Y	filler	1	The reporter interviewed the actors about the movie.	54	2
filler	N	N	filler	4	The professor said that the student that the committee that was visiting picked would present at the conference.	55	2
filler	N	N	filler	4	The principal questioned the member about the clique who was mouthing off to teachers.	56	2
filler	N	N	filler	2	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	57	2
filler	Y	Y	filler	1	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	58	2
filler	Y	Y	filler	5	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	59	2
filler	N	N	filler	4	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	60	2
filler	N	Y	filler	2	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	61	2
0	Y	Y	2	2	The rumor that the alleged criminal who the officer arrested after the murder was not in fact guilty was bogus.	62	2
filler	N	N	filler	4	The activist petitioned the sponsor about the bill who was speaking out against immigration.	63	2
filler	N	N	filler	3	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	64	2
filler	Y	Y	filler	1	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	65	2
filler	N	N	filler	1	The publisher complimented the editors on the magazine.	66	2
filler	Y	Y	filler	2	The principal criticized the instructors for the program.	7	3
filler	N	Y	filler	3	The florist sent the flowers on the table to the boy that were very expensive.	8	3
filler	N	N	filler	2	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	9	3
filler	Y	Y	filler	5	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	10	3
filler	N	Y	filler	3	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	11	3
0	Y	Y	2	3	The rumor that the conservative senator who the diplomat opposed in the election won in the run-off really made him angry.	12	3
0	Y	Y	1	3	The disclosure that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	13	3
filler	Y	N	filler	3	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	14	3
filler	Y	Y	filler	2	The board of directors announced that the business acquisition strategy was proceeding as planned.	15	3
filler	N	Y	filler	3	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	16	3
2	Y	Y	7	3	The information that the leading man who the starlet fell in love with almost made her cry.	17	3
filler	N	N	filler	2	The critic complimented the director about the play who was asked to write the screenplay.	18	3
filler	Y	Y	filler	4	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	19	3
2	Y	Y	11	3	The belief that the alleged criminal who the officer arrested after the murder was bogus.	20	3
filler	Y	N	filler	3	The neighbor approached the owner about the dog who was building a doghouse over the property line.	21	3
filler	Y	Y	filler	3	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	22	3
0	Y	Y	9	3	The suggestion that the school principal who the teacher had an affair with had been fired was quoted in the newspaper.	23	3
filler	N	Y	filler	4	The professor said that the student that the committee that was visiting picked would present at the conference.	24	3
filler	N	Y	filler	4	The salesman called the buyer about the rifle who was looking for antiques from the war.	25	3
2	Y	Y	0	3	The reminder that the famous sculptor who the painter admired more than anyone was completely untrue.	26	3
filler	Y	Y	filler	4	The sportscaster interviewed the captain about the team who was leading his team to the championship.	27	3
filler	N	Y	filler	4	The delivery man left the package with two labels on the porch which were printed with an address.	28	3
filler	N	Y	filler	3	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	29	3
filler	Y	Y	filler	2	The chairman consulted the executive about the company who was playing golf at the country club.	30	3
0	Y	Y	6	3	The evidence that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	31	3
filler	Y	Y	filler	3	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	32	3
filler	Y	N	filler	3	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	33	3
filler	N	Y	filler	3	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	34	3
2	Y	Y	4	4	The confirmation that the college student who the professor accused of cheating made the professor happy.	35	3
filler	N	Y	filler	3	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	36	3
0	Y	Y	8	3	The story that the old preacher who the parishioners fired yesterday stole money from the church proved to be true.	37	3
filler	N	N	filler	2	The counselor consoled the students about the competition.	38	3
filler	N	Y	filler	2	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	39	3
filler	N	Y	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	40	3
filler	N	N	filler	4	The activist petitioned the sponsor about the bill who was speaking out against immigration.	41	3
filler	Y	Y	filler	4	The librarian delivered the books with many photographs to the building which depicted horses.	42	3
filler	N	N	filler	3	The student petitioned the professors regarding the course.	43	3
filler	N	Y	filler	3	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	44	3
filler	N	Y	filler	3	The officer cautioned the driver about the explorer who was talking on the phone while driving.	45	3
filler	Y	Y	filler	2	The reporter approached the victim about the attack who was injured by the suicide bomber.	46	3
2	Y	Y	5	2	The thought that the young violinist who the sponsors backed financially is likely true.	47	3
filler	Y	Y	filler	2	The reporter interviewed the actors about the movie.	48	3
0	Y	Y	10	3	The revelation that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	49	3
filler	N	N	filler	3	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	50	3
filler	Y	Y	filler	3	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	51	3
2	Y	Y	3	2	The report that the marketing whiz who the artist had hired shocked everyone.	52	3
filler	Y	N	filler	2	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	53	3
filler	N	N	filler	3	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	54	3
filler	N	N	filler	2	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	55	3
filler	N	N	filler	3	The host complimented the author about the book who was being interviewed on all the talk shows.	56	3
filler	N	Y	filler	3	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	57	3
filler	N	Y	filler	3	The parent called the teacher about the class who was giving bad grades to foreign students.	58	3
filler	Y	Y	filler	3	The homeowner consulted the architect about the house who was worried about being behind schedule.	59	3
filler	Y	Y	filler	2	The agent approached the publicists about the photo-shoot.	60	3
filler	N	N	filler	2	The publisher complimented the editors on the magazine.	61	3
filler	N	N	filler	3	The two children walked slowly in front of their mother as they gradually approached the playground.	62	3
filler	N	Y	filler	3	The principal questioned the member about the clique who was mouthing off to teachers.	63	3
filler	Y	N	filler	3	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	64	3
filler	Y	Y	filler	3	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	65	3
filler	N	Y	filler	3	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	66	3
filler	N	N	filler	1	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	7	4
filler	Y	Y	filler	2	The principal criticized the instructors for the program.	8	4
filler	N	N	filler	4	The florist sent the flowers on the table to the boy that were very expensive.	9	4
filler	Y	Y	filler	1	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	10	4
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	11	4
filler	N	N	filler	3	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	12	4
filler	N	N	filler	3	The critic complimented the director about the play who was asked to write the screenplay.	13	4
filler	Y	Y	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	14	4
filler	N	N	filler	3	The salesman called the buyer about the rifle who was looking for antiques from the war.	15	4
0	Y	Y	10	5	The revelation that the marketing whiz who the artist had hired was a fraud shocked everyone.	16	4
filler	N	N	filler	3	The student petitioned the professors regarding the course.	17	4
0	Y	Y	1	5	The disclosure that the college student who the professor accused of cheating was dropping the class made the professor happy.	18	4
filler	Y	Y	filler	2	The reporter approached the victim about the attack who was injured by the suicide bomber.	19	4
filler	N	Y	filler	3	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	20	4
filler	N	N	filler	3	The delivery man left the package with two labels on the porch which were printed with an address.	21	4
filler	Y	Y	filler	1	The reporter interviewed the actors about the movie.	22	4
0	Y	Y	2	5	The rumor that the alleged criminal who the officer arrested after the murder was not in fact guilty was bogus.	23	4
filler	Y	Y	filler	4	The sportscaster interviewed the captain about the team who was leading his team to the championship.	24	4
filler	Y	Y	filler	2	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	25	4
filler	N	Y	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	26	4
filler	N	Y	filler	4	The activist petitioned the sponsor about the bill who was speaking out against immigration.	27	4
filler	Y	Y	filler	2	The chairman consulted the executive about the company who was playing golf at the country club.	28	4
2	Y	Y	4	5	The confirmation that the young violinist who the sponsors backed financially is likely true.	29	4
2	Y	Y	6	5	The evidence that the school principal who the teacher had an affair with was quoted in the newspaper.	30	4
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	31	4
2	Y	Y	9	4	The suggestion that the frightened child who the medic rescued from the flood relieved everyone.	32	4
filler	Y	Y	filler	2	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	33	4
filler	Y	Y	filler	1	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	34	4
0	Y	Y	7	3	The information that the famous sculptor who the painter admired more than anyone wasn't talented was completely untrue.	35	4
2	Y	N	8	3	The story that the leading man who the starlet fell in love with almost made her cry.	36	4
2	Y	Y	0	5	The reminder that the conservative senator who the diplomat opposed in the election really made him angry.	37	4
filler	Y	Y	filler	5	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	38	4
filler	N	N	filler	4	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	39	4
filler	N	N	filler	3	The counselor consoled the students about the competition.	40	4
filler	Y	Y	filler	1	The neighbor approached the owner about the dog who was building a doghouse over the property line.	41	4
filler	N	N	filler	3	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	42	4
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	43	4
filler	N	N	filler	3	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	44	4
0	Y	Y	3	2	The report that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	45	4
filler	N	N	filler	3	The two children walked slowly in front of their mother as they gradually approached the playground.	46	4
filler	Y	Y	filler	5	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	47	4
filler	N	N	filler	1	The publisher complimented the editors on the magazine.	48	4
filler	N	N	filler	3	The parent called the teacher about the class who was giving bad grades to foreign students.	49	4
filler	Y	Y	filler	3	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	50	4
filler	Y	Y	filler	4	The homeowner consulted the architect about the house who was worried about being behind schedule.	51	4
0	Y	Y	5	4	The thought that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	52	4
filler	Y	Y	filler	1	The board of directors announced that the business acquisition strategy was proceeding as planned.	53	4
filler	N	N	filler	2	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	54	4
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	55	4
filler	Y	Y	filler	3	The librarian delivered the books with many photographs to the building which depicted horses.	56	4
filler	N	N	filler	2	The host complimented the author about the book who was being interviewed on all the talk shows.	57	4
filler	N	N	filler	5	The professor said that the student that the committee that was visiting picked would present at the conference.	58	4
filler	N	Y	filler	3	The officer cautioned the driver about the explorer who was talking on the phone while driving.	59	4
filler	N	N	filler	1	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	60	4
filler	N	N	filler	2	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	61	4
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	62	4
filler	Y	Y	filler	1	The agent approached the publicists about the photo-shoot.	63	4
2	Y	Y	11	5	The belief that the old preacher who the parishioners fired yesterday proved to be true.	64	4
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	65	4
filler	N	N	filler	3	The principal questioned the member about the clique who was mouthing off to teachers.	66	4
filler	N	N	filler	4	The florist sent the flowers on the table to the boy that were very expensive.	7	5
filler	Y	Y	filler	3	The principal criticized the instructors for the program.	8	5
filler	N	N	filler	4	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	9	5
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	10	5
filler	Y	Y	filler	3	The neighbor approached the owner about the dog who was building a doghouse over the property line.	11	5
filler	Y	Y	filler	2	The board of directors announced that the business acquisition strategy was proceeding as planned.	12	5
filler	N	N	filler	3	The host complimented the author about the book who was being interviewed on all the talk shows.	13	5
0	Y	Y	2	3	The rumor that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	14	5
0	Y	Y	7	2	The information that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	15	5
2	Y	Y	5	4	The thought that the alleged criminal who the officer arrested after the murder was bogus.	16	5
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	17	5
filler	N	N	filler	3	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	18	5
filler	Y	Y	filler	4	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	19	5
2	Y	Y	6	4	The evidence that the old preacher who the parishioners fired yesterday proved to be true.	20	5
filler	N	N	filler	4	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	21	5
filler	N	N	filler	4	The parent called the teacher about the class who was giving bad grades to foreign students.	22	5
filler	N	N	filler	3	The principal questioned the member about the clique who was mouthing off to teachers.	23	5
filler	N	N	filler	3	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	24	5
2	Y	Y	8	3	The story that the young violinist who the sponsors backed financially is likely true.	25	5
filler	Y	Y	filler	1	The reporter interviewed the actors about the movie.	26	5
filler	N	N	filler	3	The officer cautioned the driver about the explorer who was talking on the phone while driving.	27	5
filler	N	N	filler	3	The salesman called the buyer about the rifle who was looking for antiques from the war.	28	5
0	Y	Y	1	2	The disclosure that the leading man who the starlet fell in love with would miss the show almost made her cry.	29	5
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	30	5
filler	N	N	filler	3	The republican challenged the president about the nation who was elected by the left-wing opposition.	31	5
filler	Y	Y	filler	1	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	32	5
filler	N	N	filler	3	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	33	5
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	34	5
filler	N	N	filler	1	The counselor consoled the students about the competition.	35	5
filler	N	N	filler	3	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	36	5
filler	N	N	filler	3	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	37	5
filler	Y	Y	filler	3	The librarian delivered the books with many photographs to the building which depicted horses.	38	5
filler	Y	Y	filler	1	The agent approached the publicists about the photo-shoot.	39	5
filler	N	N	filler	2	The two children walked slowly in front of their mother as they gradually approached the playground.	40	5
0	Y	Y	11	2	The belief that the conservative senator who the diplomat opposed in the election won in the run-off really made him angry.	41	5
2	Y	Y	0	4	The reminder that the famous sculptor who the painter admired more than anyone was completely untrue.	42	5
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	43	5
filler	N	N	filler	2	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	44	5
filler	Y	Y	filler	3	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	45	5
0	Y	Y	9	3	The suggestion that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	46	5
filler	Y	Y	filler	3	The reporter approached the victim about the attack who was injured by the suicide bomber.	47	5
filler	N	N	filler	1	The student petitioned the professors regarding the course.	48	5
filler	Y	Y	filler	3	The sportscaster interviewed the captain about the team who was leading his team to the championship.	49	5
filler	Y	Y	filler	2	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	50	5
filler	Y	Y	filler	2	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	51	5
filler	N	N	filler	4	The professor said that the student that the committee that was visiting picked would present at the conference.	52	5
0	Y	Y	3	3	The report that the school principal who the teacher had an affair with had been fired was quoted in the newspaper.	53	5
filler	N	N	filler	3	The delivery man left the package with two labels on the porch which were printed with an address.	54	5
2	Y	Y	4	3	The confirmation that the college student who the professor accused of cheating made the professor happy.	55	5
filler	N	N	filler	4	The critic complimented the director about the play who was asked to write the screenplay.	56	5
filler	Y	Y	filler	4	The chairman consulted the executive about the company who was playing golf at the country club.	57	5
filler	N	N	filler	1	The publisher complimented the editors on the magazine.	58	5
filler	Y	Y	filler	4	The homeowner consulted the architect about the house who was worried about being behind schedule.	59	5
2	Y	Y	10	4	The revelation that the marketing whiz who the artist had hired shocked everyone.	60	5
filler	N	Y	filler	3	The activist petitioned the sponsor about the bill who was speaking out against immigration.	61	5
filler	Y	Y	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	62	5
filler	Y	Y	filler	2	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	63	5
filler	N	N	filler	3	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	64	5
filler	Y	Y	filler	1	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	65	5
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	66	5
filler	N	N	filler	4	The florist sent the flowers on the table to the boy that were very expensive.	7	6
filler	Y	Y	filler	2	The principal criticized the instructors for the program.	8	6
