workerid	condition	item	rt	correct	word	wordInItem	Region	RegionFine	sentence	Noun	Continuation	trial	group
1	filler	Filler_14	817	yes	engineer	1	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	731	yes	who	2	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	989	yes	the	3	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1627	yes	lawyer	4	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	944	yes	who	5	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	607	yes	was	6	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1949	yes	by	7	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	771	yes	the	8	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1273	yes	elevator	9	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1930	yes	scolded	10	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	3518	yes	blamed	11	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	685	yes	the	12	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	954	yes	secretary	13	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	933	yes	but	14	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1455	yes	nobody	15	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	871	yes	listened	16	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	644	yes	to	17	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	855	yes	his	18	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_14	1059	yes	complaints.	19	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
1	filler	Filler_38	555	yes	During	0	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	922	yes	the	1	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	719	yes	party	2	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	826	yes	everybody	3	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	474	yes	was	4	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	1008	yes	dancing	5	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	527	yes	to	6	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	1113	yes	rock	7	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	filler	Filler_38	755	yes	music.	8	NA	NA	During the party everybody was dancing to rock music.	NA	NA	13	238
1	condition_0	Critical_7	458	yes	The	0	REGION_D0	REGION_D0	The truth was unnerving.	truth	was_unnerving.	29	238
1	condition_0	Critical_7	1042	yes	truth	1	REGION_N0	REGION_N0	The truth was unnerving.	truth	was_unnerving.	29	238
1	condition_0	Critical_7	676	yes	was	2	REGION_3_0	REGION_3_0	The truth was unnerving.	truth	was_unnerving.	29	238
1	condition_0	Critical_7	1569	yes	unnerving.	3	REGION_3_1	REGION_3_1	The truth was unnerving.	truth	was_unnerving.	29	238
1	filler	Filler_51	468	yes	The	0	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	1074	yes	rebels	1	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	618	yes	who	2	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	1128	yes	were	3	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	585	yes	in	4	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	554	no	the	5	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	717	yes	jungle	6	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	848	yes	captured	7	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	707	yes	the	8	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	1038	yes	diplomat	9	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	984	yes	after	10	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	928	yes	they	11	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	931	yes	threatened	12	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	747	yes	to	13	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	945	yes	kill	14	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	692	yes	his	15	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	786	yes	family	16	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	848	yes	for	17	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	1047	yes	not	18	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	832	yes	complying	19	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	596	yes	with	20	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	711	yes	their	21	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	filler	Filler_51	627	yes	demands.	22	NA	NA	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.	NA	NA	44	238
1	condition_2	Critical_5	504	yes	The	0	REGION_D0	REGION_D0	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	842	yes	fact	1	REGION_N0	REGION_N0	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	823	yes	that	2	REGION_0_0	REGION_0_0	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	541	yes	the	3	REGION_0_1	REGION_0_1	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	936	yes	criminal	4	REGION_0_2	REGION_0_2	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	1199	yes	stunned	5	REGION_2_0	REGION_2_0	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	667	yes	everyone	6	REGION_2_1	REGION_2_1	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	651	yes	was	7	REGION_3_0	REGION_3_0	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	condition_2	Critical_5	1078	yes	disconcerting.	8	REGION_3_1	REGION_3_1	The fact that the criminal stunned everyone was disconcerting.	fact	was_disconcerting.	45	238
1	filler	Filler_13	553	yes	After	0	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	944	yes	the	1	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	939	yes	argument,	2	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	600	yes	the	3	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	1338	yes	husband	4	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	867	yes	ignored	5	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	831	yes	his	6	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_13	471	yes	wife.	7	NA	NA	After the argument, the husband ignored his wife.	NA	NA	11	238
1	filler	Filler_7	1965	yes	During	0	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	693	yes	the	1	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	1187	yes	season,	2	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	882	yes	the	3	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	949	yes	choir	4	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	914	yes	holds	5	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	920	yes	rehearsals	6	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	859	yes	in	7	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	724	yes	the	8	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	733	yes	church	9	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_7	1063	yes	regularly.	10	NA	NA	During the season, the choir holds rehearsals in the church regularly.	NA	NA	25	238
1	filler	Filler_15	1346	yes	The	0	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	814	yes	librarian	1	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	689	yes	put	2	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	653	yes	the	3	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	933	yes	book	4	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	758	yes	onto	5	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	590	yes	the	6	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_15	929	yes	shelf.	7	NA	NA	The librarian put the book onto the shelf.	NA	NA	28	238
1	filler	Filler_37	465	yes	The	0	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	698	yes	gangster	1	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	723	yes	who	2	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	857	yes	the	3	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1183	yes	detective	4	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	822	yes	at	5	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	606	yes	the	6	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	849	yes	club	7	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1214	yes	followed	8	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1808	yes	implicated	9	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	528	yes	the	10	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	979	yes	waitress	11	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	521	yes	because	12	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	729	yes	the	13	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1199	yes	police	14	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1115	yes	suspected	15	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	655	yes	he	16	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	620	yes	had	17	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1312	yes	murdered	18	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	537	yes	the	19	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_37	1156	yes	shopkeeper.	20	NA	NA	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.	NA	NA	33	238
1	filler	Filler_19	2364	yes	The	0	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	858	yes	customer	1	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	717	yes	who	2	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	699	yes	was	3	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	813	yes	on	4	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	617	yes	the	5	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	776	yes	phone	6	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	1408	yes	contacted	7	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	762	yes	the	8	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	761	yes	operator	9	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	725	yes	because	10	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	541	yes	the	11	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	1493	yes	new	12	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	2175	yes	long-distance	13	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	1643	yes	pricing	14	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
1	filler	Filler_19	536	yes	plan	15	NA	NA	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.	NA	NA	19	238
