workerid	completion	condition	item	sentence1	slide_number
33	1	Ordnung wegen aus dem Saal verwieß, wird dies so schnell nicht vergessen.	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	25
34	1	in seiner Stadt jeder kennt, genießt ein sehr hohes Ansehen.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	41
35	1	lebten Dinosaurier auf unserer Erde.	filler	filler_16	Vor langer Zeit	9
36	1	möchstest, dann eben nicht.	filler	filler_6	Wenn du nicht	19
37	1	interviewt hatte, lebenslang hinter Gitter muss.	SC_RC	EMBEDDED_3	Vorher erfuhr Angela, dass die Entscheidung, dass der Mafioso, den der Journalist	8
38	1	angezeigt hat, auf Tatsachen beruht.	SC_RC	EMBEDDED_9	Niemand denkt wirklich, dass die Annahme, dass der Nachbar, den der Mann	40
39	2	gefragt hatte, einen Einkauf getätigt hatte, gefälscht war	SC_RC	EMBEDDED_2	Lisa hat gesagt, dass der Beleg, dass der Händler, den der Unternehmer	31
40	2	ihm runtergefallen war wieder aufhob, war kaputt	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	17
41	2	ihren Mann hörte	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	7
42	2	festgenommen hatte, nicht korrekt war	SC_RC	EMBEDDED_10	Vorher erfuhr Angela, dass die Annahme, dass der Extremist, den der Agent	10
43	2	engagiert hatte nicht richtig war	SC_RC	EMBEDDED_6	Gestern sagte Norbert, dass die Auffassung, dass der Marketingspezialist, den die Künstlerin	8
44	2	das schnellste Pferd hatte, gewann das Rennen	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	35
45	2	befragt hatte, am Verbrechen beteiligt war, korrekt ist	SC_RC	EMBEDDED_9	Ich denke nicht, dass die Vermutung, dass der Mafioso, den der Journalist	26
46	2	kontaktiert hatte, nicht rechtens war	SC_RC	EMBEDDED_5	Die Leute glauben, dass die Entscheidung, dass der Bildhauer, den die Anwältin	18
47	2	an seine Ex Frau	filler	filler	Als Frank aufwachte, erinnerte er sich	6
48	2	Homophobie	filler	filler	Annabelle war generell gegen	4
49	2	immer die CDU wählte, wählte sie auch dieses Mal wieder	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	30
50	2	sie zu fragen wie es ihr geht	filler	filler_40	Der alte Mann rief seine Schwester an, um	16
51	2	alle liebten rettete das Tier	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	36
52	2	gerade Feierabend hatte ging ins Bett	sub_ext_RC	4_sub_ext_RC	Der Förster, der	19
53	2	wenig Zeit zum Schreiben hatte schrieb, war richtig gut	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	9
54	2	heute früher Schluss hatte befragt hatte, lachte laut.	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	21
55	2	die Sonne unterging	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	37
56	2	viel Trinkhgeld gab lobte, freute sich über das Lob	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	27
57	2	Schnaps trinke, werde ich wieder rückfällig	filler	filler_3	Wenn ich jemals noch einen	25
58	2	der Bus losgefahren war	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	40
59	2	überfallen hatte, zur Tatzeit nicht daheim war, falsch war	SC_RC	EMBEDDED_3	Luigi hat gedacht, dass die Klage, dass das Opfer, das der Verbrecher	34
60	2	hatte er mehr Geld zur Verfügung	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	5
61	2	zusammen zu lesen	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	29
62	2	erst kürzlich angestellt hatte, übertrieben war	SC_RC	EMBEDDED_7	Ibrahim hat gemeint, dass die Befürchtung, dass der Schulleiter, den der Lehrer	15
63	2	abgegeben hatte, jemand bestohlen haben könnte, vielleicht nicht korrekt war.	SC_RC	EMBEDDED_0	Klaus hat erzählt, dass der Bericht, dass der Pfarrer, den das Gemeindemitglied	39
64	2	schon einmal geklaut hatte	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	11
65	2	alle mochten musste vom Platz gehen	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	32
66	2	festgenommen hatte, unberechtigt war	SC_RC	EMBEDDED_1	Hans hat behauptet, dass der Zweifel, dass der Kriminelle, den der Polizist	20
67	2	lebten die Dinosaurier	filler	filler_16	Vor langer Zeit	33
68	2	sind was Tolles	filler	filler_5	Spiele und Picknicks im Freien	23
69	2	niemand mochte, klagte den Verbrechner an	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	38
70	2	ernannt hatte, ein guter Mensch sein könnte	SC_RC	EMBEDDED_11	Niemand denkt wirklich, dass die Erkenntnis, dass der Kommandant, den der Präsident	24
71	2	deine Hausaufgaben machst bekommst du Hausarrest	filler	filler_6	Wenn du nicht	12
72	2	seinem Hemd	filler	filler_35	Der Holzfäller schwitzte unter	14
73	2	ein Verbrechen	filler	filler_14	Alle 20 Minuten passiert in Deutschland	41
74	2	gerretet hat, vor ein Auto gelaufen war, vielleicht nicht richtig war	SC_RC	EMBEDDED_8	Peter sagte mir, dass die Überzeugung, dass das Kind, das der Sanitäter	28
75	2	etwas gefragt hatte, korrupt sein könnte, womöglich zutreffen könnte	SC_RC	EMBEDDED_4	Ich habe gehört, dass das Zeichen, dass der Chef, den der Angestellte	42
76	2	gute gesungen hatte vorgetragen hatte, war richtig schön	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	22
77	2	sehr streng war heute im Gericht hatte, las die Anklage vor	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	13
78	3	man häufig auf Werbeplakaten sieht, spielt in der Bundesliga. 	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	36
79	3	seiner Arbeitskleidung, unter der es erfahrungsgemäß sehr warm wird.	filler	filler_35	Der Holzfäller schwitzte unter	19
80	3	außerdem Humanmedizin studiert hatte, in die Hand nahm, war sehr teuer. 	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	7
81	3	beobachtet hatte, mit Büromaterialien rücksichtslos umgegangen sein soll, wohl zutreffend sei. 	SC_RC	EMBEDDED_3	Gestern sagte Norbert, dass die Kritik, dass der Büroangestellte, den der Kunde	30
82	3	plötzlich den Einfall hatte, was sie noch tun könnte. 	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	24
83	3	alles, was ihre Eltern von ihr erwarteten. 	filler	filler	Annabelle war generell gegen	6
84	3	nicht leiden konnte, unfreundlich sei, wirklich eine Überraschung darstellt. 	SC_RC	EMBEDDED_11	Niemand denkt wirklich, dass die Erkenntnis, dass der Chef, den der Angestellte	35
85	3	ein schwerer Unfall mit Verletzten oder Todesopfern. 	filler	filler_14	Alle 20 Minuten passiert in Deutschland	13
86	3	zuvor beobachtet hatte, selbst verantwortlich war, dass die Tat so geschah, leider von vielen Leuten eine große Zustimmung erfährt. 	SC_RC	EMBEDDED_8	Vorher erfuhr Angela, dass die Mutmaßung, dass das Opfer, das der Verbrecher	20
87	3	an den gestrigen Abend, der sehr schön gewesen war. 	filler	filler	Als Frank aufwachte, erinnerte er sich	5
88	3	Abend mit ihr verbringen könnte, würde ein Traum für mich in Erfüllung gehen.	filler	filler_3	Wenn ich jemals noch einen	40
89	3	im Wald unterwegs ist, hat keine Angst vor wilden Tieren. 	sub_ext_RC	4_sub_ext_RC	Der Förster, der	33
90	3	nun sehr unzufrieden war, ansprach, gelobte schnelle Besserung. 	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	17
91	3	das Geld für PlayStation leider nicht aufbringen könne.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	18
92	3	sie regelmäßig am Wochenende traf, hatte Frau und Kinder.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	29
93	3	erst letzte Woche würdigte, Drogen nehme, an den Haaren herbeigezogen sein soll. 	SC_RC	EMBEDDED_7	Ich habe gehört, dass die Vermutung, dass der Kommandant, den der Präsident	23
94	3	den Politiker schon zum wiederholten Male gewählt hat, ist unzufrieden. 	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	39
95	3	inspiriert hatte, ein Talent für ausgefallene Werbekampagnen habe, revolutionär sei.  	SC_RC	EMBEDDED_1	Luigi hat gedacht, dass die Entdeckung, dass der Marketingspezialist, den die Künstlerin	41
96	3	schrieb er sich für ein Studium der Mathematik ein. 	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	4
97	3	kritisch erwähnte, korrupt sei, wohl leider den Tatsachen entspreche. 	SC_RC	EMBEDDED_6	Peter sagte mir, dass die Feststellung, dass der Abgeordnete, den die Diplomatin	12
98	3	angezeigt hatte, wohl wohl nicht in Übereinstimmung miteinander sind. 	SC_RC	EMBEDDED_0	Klaus hat erzählt, dass der Bericht, dass der Schulleiter, den der Lehrer	9
99	3	außerdem Tänzer war, sang, war sehr schön. 	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	31
100	3	viel Zeit mit dem Schachspielen verbrachte, las, überzeugte ihn nicht. 	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	22
101	3	bereit dafür bist, lass es mich bitte wissen. 	filler	filler_6	Wenn du nicht	34
102	3	schon von einer vorangegangenen Urlaubsreise kannte, etwas Böses im Schilde führt, zutreffend sein kann. 	SC_RC	EMBEDDED_9	Ich denke nicht, dass die Befürchtung, dass der Taxifahrer, den der Tourist	16
103	3	bestahl, schon davor zahlungsunfähig war, wirklich traurig für sie sei. 	SC_RC	EMBEDDED_10	Lisa hat gesagt, dass die Tatsache, dass der Buchhändler, den der Dieb	37
104	3	ein Chormitglied Geburtstag hatte und es etwas zu feiern gab. 	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	8
105	3	ist etwas, das viele Leute gerne machen.	filler	filler_5	Spiele und Picknicks im Freien	42
106	3	besonders Hunde gerne mögen.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	38
107	3	gingen wir zusammen in die Schule. 	filler	filler_16	Vor langer Zeit	27
108	3	nach Büchern über Meteorologie zu recherchieren. 	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	10
109	3	der Lüge bezichtigt hatte, wohl unzutreffend sei.	SC_RC	EMBEDDED_2	Ibrahim hat gemeint, dass die Klage, dass der Pfarrer, den das Gemeindemitglied	14
110	3	das Gewitter begann.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	28
111	3	angezeigt hatte, einen Kunstfehler gemacht hat, wohl kaum ausreichend sein dürfte.	SC_RC	EMBEDDED_5	Die Leute glauben, dass der Beleg, dass der Chirurg, den der Patient	26
112	3	zuvor persönlich angegriffen hatte, nicht mehr an dem Film mitwirken wolle, übereilt sei. 	SC_RC	EMBEDDED_4	Hans hat behauptet, dass die Entscheidung, dass der Schauspieler, den der Star	32
113	3	diesen noch aus dem Studium kannte, etwas fragte, konnte nicht korrekt antworten. 	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	15
114	3	ihr mitzuteilen, dass seine letzte Zeit gekommen war.	filler	filler_40	Der alte Mann rief seine Schwester an, um	25
115	4	einsperrte, womöglich falsch sei.	SC_RC	EMBEDDED_8	Gestern sagte Norbert, dass die Ansicht, dass der Kriminelle, den der Polizist	16
116	4	seiner schweren Ausrüstung.	filler	filler_35	Der Holzfäller schwitzte unter	39
117	4	in einer Stadt ein Unfall mit einem PKW - somit wäre es ein großer Fortschritt für die Sicherheit, PKW-Individualverkehr zu minimieren.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	12
118	4	engagierte, zitrrige Hände hat, kein gutes sei.	SC_RC	EMBEDDED_5	Ibrahim hat gemeint, dass das Zeichen, dass der Chirurg, den der Patient	38
119	4	im Wald arbeitet, hat den ruhigsten Arbeitsplatz der Region. 	sub_ext_RC	4_sub_ext_RC	Der Förster, der	15
120	4	an seinen Traum.	filler	filler	Als Frank aufwachte, erinnerte er sich	4
121	4	waren wir sorglos und glücklich.	filler	filler_16	Vor langer Zeit	41
122	4	konsultierte, nicht zur genüge Leistung bringen kann.	SC_RC	EMBEDDED_1	Die Leute glauben, dass die Aufforderung, dass der Pfarrer, den das Gemeindemitglied	26
123	4	zum Interview bereit stand, zur Kunstuniversität befragte, vergaß den Aufnahmeknopf zu drücken.	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	14
124	4	Lottogewinn mache, brauche ich mir keine Sorgen mehr um meine finanzielle Zukunft machen.	filler	filler_3	Wenn ich jemals noch einen	7
125	4	Assistentin gab, schrieb nicht.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	34
126	4	Ball tretend, rief dem Stürmer zu. 	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	8
127	4	der Hagel das Feld traf und die Heuernte zerstörte.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	27
128	4	anfuhr, sich bewahrheitete. 	SC_RC	EMBEDDED_9	Klaus hat erzählt, dass die Befürchtung, dass der Taxifahrer, den der Tourist	13
129	4	der Busfahrer am Steuer fast eingeschlafen ist.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	37
130	4	Klientin wegen anrief, bestätigte den Sachverhalt. 	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	24
131	4	sind ein angenehmer Freizeitvertreib.	filler	filler_5	Spiele und Picknicks im Freien	25
132	4	konnte er sein Studium an der Harward-Universität abschließen. 	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	5
133	4	nervös auf ihr Vorstellungsgespräch wartete.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	28
134	4	der Bauer rief, war sehr kompetent und konnte seinen Tieren helfen.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	29
135	4	den noblen Schimmel ritt, isst gerne Gorgonzola.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	42
136	4	beim Essen traf, betreffen wird.	SC_RC	EMBEDDED_4	Ich habe gehört, dass die Anordnung, dass der Marathonläufer, den der Psychiater	9
137	4	erkannte, sein Verhalten honorieren möchte.	SC_RC	EMBEDDED_3	Peter sagte mir, dass der Bericht, dass der Unternehmer, den der Wohltäter	33
138	4	Band aus Schweden, sang, war sehr schön.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	32
139	4	nach deinen Werten lebst, wirst du in Zukunft nicht glücklich mit deinen Handlungen sein.	filler	filler_6	Wenn du nicht	20
140	4	die Rechtspartei wählt, hat wahrscheinlich nicht genügend recherchiert, um zu wissen, dass die Rechtspolitik weder ihm noch der Gesellschaft auf lange Sicht dienlich ist.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	17
141	4	man konsultiert, kostet viel Geld.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	10
142	4	biss, falsch war.	SC_RC	EMBEDDED_7	Vorher erfuhr Angela, dass die Annahme, dass der Schauspieler, den der Star	11
143	4	konsultierte, gerechtfertigt sei.	SC_RC	EMBEDDED_0	Ich denke nicht, dass der Zweifel, dass der Marketingspezialist, den die Künstlerin	40
144	4	im Sammelband erscheinen möchte, wird bald fertig gestellt sein.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	31
145	4	anheuerte, am richtigen Posten sitzt, falsch ist.	SC_RC	EMBEDDED_11	Luigi hat gedacht, dass die Überzeugung, dass der Kommandant, den der Präsident	18
146	4	Impfungen, aufgrund der Pandemie und ihrer Solidarität gegenüber ihrer Familie, ließ sie sich trotzdem impfen.	filler	filler	Annabelle war generell gegen	6
147	4	das Essen bestellte, bediente, war sehr freundlich.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	19
148	4	geheime Lobbyingarbeit zu betreiben.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	23
149	4	sich von ihr vor dem Urlaub zu verabschieden.	filler	filler_40	Der alte Mann rief seine Schwester an, um	21
150	4	nicht heterosexuell sei und daher nicht auf ihre Einladung zusagen möchte.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	35
151	4	anheuerte, berechtigt sei.	SC_RC	EMBEDDED_10	Hans hat behauptet, dass die Mutmaßung, dass der Extremist, den der Agent	36
152	4	anrief, richtig ist.	SC_RC	EMBEDDED_6	Niemand denkt wirklich, dass die Vermutung, dass der Büroangestellte, den der Kunde	30
153	4	anspuckte, wirklich nicht gerechtfertigt war. 	SC_RC	EMBEDDED_2	Lisa hat gesagt, dass die Kritik, dass der Junge, den der Clown	22
154	5	etwas unvorhergesehenes. 	filler	filler_14	Alle 20 Minuten passiert in Deutschland	13
155	5	viele Rehe hat, kommt immer zu spaet.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	41
156	5	geheiratet hat auch ein Deutscher war.	SC_RC	EMBEDDED_5	Luigi hat gedacht, dass der Bericht, dass der Schauspieler, den der Star	14
157	5	zuletzt gesehen hatte, unterbezahlt ist.	SC_RC	EMBEDDED_6	Klaus hat erzählt, dass die Ansicht, dass der Lebensretter, den der Schwimmer	12
158	5	eingeladen hat, wirklich weiss um was es geht. 	SC_RC	EMBEDDED_7	Niemand denkt wirklich, dass die Tatsache, dass der Politiker, den der Banker	40
159	5	heute hier ist, geschrieben hat, ist verbrannt.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	24
160	5	vorgestellt hatte einen guten ersten Eindruck macht. 	SC_RC	EMBEDDED_9	Peter sagte mir, dass die Auffassung, dass der Schulleiter, den der Lehrer	35
161	5	eingeladen hat, glaubwuerdige Argumente vorbringt.	SC_RC	EMBEDDED_3	Ibrahim hat gemeint, dass der Zweifel, dass der Wissenschaftler, den der Bürgermeister	27
162	5	machen Spass.	filler	filler_5	Spiele und Picknicks im Freien	28
163	5	art bloss gestellt hatte. 	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	11
164	5	ihn angeschrien hat, kennen lernt. 	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	10
165	5	niemand kennt spielt gut.	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	34
166	5	auf seinem Ruecken hatte, in den Spiegel gemalt hatte den Regen ueberstanden hat.	SC_RC	EMBEDDED_2	Ich denke nicht, dass das Zeichen, dass das Opfer, das der Verbrecher	32
167	5	sie vermisst. 	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	25
168	5	seiner Wollmuetze.	filler	filler_35	Der Holzfäller schwitzte unter	26
169	5	Landkarten zu sichten.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	39
170	5	heute auftritt, gesungen hat, ist von Whitney Huston. 	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	38
171	5	immer gewinnt, hat Masern.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	22
172	5	gestellt hatte vor Gericht nicht angenommen wurde.	SC_RC	EMBEDDED_4	Vorher erfuhr Angela, dass der Beleg, dass der Betrüger, den die Frau	23
173	5	heute zum ersten mal da war gesehen hatte. 	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	7
174	5	als Beispiel nannte, vom Ueberlebenstraining erzaehlt hatte ungueltig ist.	SC_RC	EMBEDDED_10	Hans hat behauptet, dass die Überzeugung, dass der Marathonläufer, den der Psychiater	42
175	5	gebucht hatte, heute keine Sprechstunde hat.	SC_RC	EMBEDDED_0	Lisa hat gesagt, dass die Anordnung, dass der Chirurg, den der Patient	16
176	5	die sozial-demokratische Partei.	filler	filler	Annabelle war generell gegen	4
177	5	befoerdert hat, skandaloes ist.	SC_RC	EMBEDDED_1	Die Leute glauben, dass die Entdeckung, dass der Student, den der Professor	8
178	5	an gar nichts mehr.	filler	filler	Als Frank aufwachte, erinnerte er sich	6
179	5	gefangen hat, noch minderjaehrig ist.	SC_RC	EMBEDDED_11	Ich habe gehört, dass die Mutmaßung, dass der Kriminelle, den der Polizist	21
180	5	der Schlag getroffen hat, lebt nicht mehr.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	18
181	5	auf den Pausengong wartete.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	15
182	5	still bist komme ich rueber.	filler	filler_6	Wenn du nicht	9
183	5	ich angerufen habe war attraktiv.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	33
184	5	ihr vom Tod seiner Katze zu erzaehlen.	filler	filler_40	Der alte Mann rief seine Schwester an, um	31
185	5	musste er in den Semesterferien nicht arbeiten.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	5
186	5	sie ihren Auftritt hatten.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	37
187	5	ueberfallen hat, an einem Herzanfall gestorben ist.	SC_RC	EMBEDDED_8	Gestern sagte Norbert, dass die Vermutung, dass der Buchhändler, den der Dieb	30
188	5	zu spaet zur Wahl kam aergerte sich.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	36
189	5	heute Dienst hat, gekauft hat, fehlt. 	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	29
190	5	sie sich zum schlafen hinlegten.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	20
191	5	genialen Einfall habe werde ich vielleicht doch noch Millionaer.	filler	filler_3	Wenn ich jemals noch einen	19
192	5	gab es noch kein Internet.	filler	filler_16	Vor langer Zeit	17
193	6	seiner Schutzkleidung.	filler	filler_35	Der Holzfäller schwitzte unter	19
194	6	weiteren schlechten Manager habe, werde ich selbstständig.	filler	filler_3	Wenn ich jemals noch einen	18
195	6	etwas Lustiges.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	11
196	6	vorsichtig bist, kann dir etwas passieren.	filler	filler_6	Wenn du nicht	29
197	6	ins Geschäft einbeziehen wollte, unzuverlässig war, der Grund für den Zusammenbruch des Arbeitsverhältnisses war.	SC_RC	EMBEDDED_7	Peter sagte mir, dass die Tatsache, dass der Händler, den der Unternehmer	41
198	6	ungeduldig auf den Redner wartete.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	42
199	6	Diskriminierung.	filler	filler	Annabelle war generell gegen	6
200	6	sie sehr mag.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	17
201	6	sie empfohlen hatte, war wirklich sehr gut.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	31
202	6	in Eile ein Rezept schreiben musste, kaputt gemacht hat, gehörte eigentlich der Assistentin.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	32
203	6	dass er seine Schwester zur Schule fahren muss.	filler	filler	Als Frank aufwachte, erinnerte er sich	5
204	6	verklagen möchte, schlecht gehandelt hat, wirklich angebracht ist.	SC_RC	EMBEDDED_0	Niemand denkt wirklich, dass die Kritik, dass der Chirurg, den der Patient	20
205	6	sich nicht auskannte, um Rat gefragt hat, bekam als Dank viel Trinkgeld.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	38
206	6	das Rennen gewann, spendete die Hälfte seines Preisgeldes an benachteiligte Kinder.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	37
207	6	sie dort noch verpflegt wurden.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	28
208	6	der mutmaßliche Täter angestellt hatte, verteidigte ihn gut.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	16
209	6	eingestellt hatte, die endgültige Entscheidung trifft, Sinn ergibt.	SC_RC	EMBEDDED_4	Gestern sagte Norbert, dass die Anordnung, dass der Marketingspezialist, den die Künstlerin	15
210	6	noch nicht sehr bekannt war, sang, berührte die Zuhörer.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	14
