completion	verbs
loswerden wollten, in ein anderes Ensemble wechselt, vom Vorsitzenden des Musikvereins gebilligt wurde.	3
mit einer Waffe bedroht hatte, erfolgreich war.	2
nach Spenden gefragt hatte, zu geizig dafür ist, tatsächlich falsch war.	3
nicht identifizieren konnte, noch einmal in derselben Stadt zuschlägt, eintreffen wird. 	3
nicht kannte, sofort wieder in der Menge untergetaucht ist, kein Gutes gewesen sei.	3
nicht leiden konnte, unfreundlich sei, wirklich eine Überraschung darstellt. 	3
sah, schneller als ein Tiger rennen kann, korrekt ist.	3
schon mehrfach unterstützt hatten, nur noch gewisse Stücke spielen sollte, große Empörung ausgelöst hatte.	3
schon von einer vorangegangenen Urlaubsreise kannte, etwas Böses im Schilde führt, zutreffend sein kann. 	3
um den Weg gefragt hatte, ihn absichtlich in die falsche Richtung geschickt hatte, auch nur irgendwie standhaft wäre.	3
umgebracht hat, fallen gelassen wird. 	2
unterstützen wollte, dies aus Scham nicht annehmen wollte, wohl nicht ganz der Wahrheit entspricht.	3
vergewaltigte, grün war, etwas mit der Sache zu tun hat.	3
verklagen möchte, schlecht gehandelt hat, wirklich angebracht ist.	3
verklagt hat, tatsächlich schlecht gehandelt hat, überraschend ist.	3
verletzte, deutsch ist, von Bedeutung wäre	3
versucht hat ihm aufzuzwingen, tatsächlich in seinem Hirn verankert wurde.	2
vor der Kirche sah, freundlich sei, stimme.	3
warb, jünger als 18 Jahre alt ist.	2
wegen Zuspätkommens abgemahnt hat, nicht wahrheitsgemäß geschrieben wurde.	3
wegen falscher Behandlung verklagt hat, einen großen Fehler gemacht hat, der Wahrheit entspricht.	3
zu einer Pause geraten hatte, ansonsten den Marathon gewonnen hätte, von vielen Menschen geteilt wurde.	3
zurechtgewiesen hatte, dies wirklich getan hatte, berechtigt war.	3
zuvor beobachtet hatte, selbst verantwortlich war, dass die Tat so geschah, leider von vielen Leuten eine große Zustimmung erfährt. 	3
zuvor persönlich angegriffen hatte, nicht mehr an dem Film mitwirken wolle, übereilt sei. 	3
öffentlich niedermachte, schlecht ist, überzeugend ist.	3
überwachte, ins Gefägnis soll, vom Gericht stattgegeben wurde.	3
-Fotograf beim Drogenkonsum fotografiert hat, nicht in den Entzug geht, für ihn fragwürdig ist.	3
-Regisseur für die Hauptrolle ausgewählt hatte, gerechtfertigt war. 	2
Geige spielen hören wollten, ihm die Geige wegzunehmen, eine gute Entscheidung war.	2
abwerben wollte, mit dem Kunden verwandt ist, wahr ist.	3
als Beispiel nannte, vom Ueberlebenstraining erzaehlt hatte ungueltig ist.	3
als Fälscher überführte,trotzdem ein sehr guter Bildhauer war, nichts mit dem Fall zutun hat.	3
als Satanisten beschuldigt,wirklich ein Zeichen des Satanismus ist.	2
als depressiv diagnostiziert hatte und deshalb vom Rennen auszuschließen sei,   gerecht sei	2
als ein Sadist beschuldigte, auch würklich einer sei, viel zu spät an die Öffentlichkeit gelang.	3
als gewalttätig beschuldigt und der deswegen gefeuert wurde, die richtige Entscheidung war.	2
als korrupt betitelt, auch noch Steuern hinterzieht, sehr populär ist.	3
als nicht mental befähigt eingestuft hatte, zu heftig war.	2
als seine erste Wahl bezeichnete, nicht die besten Preise hat, überraschte mich. 	3
als unhöflich beschreibt, wahr ist.	2
am liebsten mochte, eigentlich unglaublich faul war, ihn besonders ärgerte.	3
an die Laterne gefesselt hat, für den Einbruch verantwortlich sei, sich bestätigt hat. 	3
angegriffen hat, Rache will, wahr ist.	3
angegriffen hat, in Ohnmacht gefallen ist, falsch ist.	3
angegriffen hat, zurückgeschlagen hat, falsch ist.	3
angegriffen hat, zurückgeschlagen ist, nicht wichtig ist.	3
angeheuert hat, nicht sonderlich gut ist, absolut wahr ist.	3
angeklagt hatte, schuldig sei, praktischerweise verloren gegangen ist.	3
angerufen hat, er solle sich einen neuen Posten suchen, nicht erfolgreich war. 	2
angespuckt hat, ihn umgebracht hat, wichtig ist.	3
angezeigt hat, gerechtfertigt ist.	2
angezeigt hat, seine Tat nicht bereut, für Aufruhr im Gerichtssaal sorgte. 	3
angezeigt hatte, die Schuld trägt, erst so spät hätte aufkommen sollen.	3
anheuerte, kein italienisch spricht, äußerst unpraktisch sei.	3
anrufen sollte nicht rangehen würde, falsch war.	3
anschrie, sich souverän verhielt, korrekt ist.	3
anzeigt, kein echter Taxifahrer war, leider begründet ist. 	3
anzeigte, sich entschuldigen soll, von seinem Chef ausging.	3
anzeigte, wegen sexuellen Übergriffen, einfach an ihm abperlte. 	3
auf Schadensersatz verklagte, bereits zweimal vor Gericht stand, sich strafverschärfend auf das jetzige Urteil auswirken würde. 	3
auf dem Überwachungsvideo erkannte, eigentlich ein ganz netter Typ sei, völlig unbegründet getätigt wurde.	3
auf der vollen Straße angehalten hatte, sehr genervt war, total verständlich war.	3
auf die Bühne geholt hat, schon seit mehreren Jahren dem Circus angehört, faslch sei.	3
auf frischer Tat ertappt hatte, gefälscht war.	2
auf frischer Tat ertappt hatte, voller Reue sei, darauf hinweisen würde, dass der Betrüger seine Tat nicht wiederholen würde.	3
auf frischer Tat ertappte, seit Jahren fremdgegangen ist, sehr schmerzhaft sein muss.	3
auf seinem Ruecken hatte, in den Spiegel gemalt hatte den Regen ueberstanden hat.	3
aufgrund seiner letzten Predigt kritisiert hatte, untauglich ist, Hand und Fuß hat.	3
aus dem Feuer geretten hatte, nicht dankbar wäre, richtig ist.	3
aus dem brennenden Haus trug, die lebensrettende Transplantation nicht erhalten sollte, heftig umstritten war.	3
aus der Vorlesung geworfen hat, falsch ist.	2
ausgeraubt hat, selbst der Täter war, gar nicht so dumm sei.	3
ausgewählt hat, ein Islamist ist, wahr ist.	3
ausgewählt hat, nicht nett ist, überraschend war.	3
ausgezeichnet hatte, ein Betrüger sei, einen guten Grund hat.	3
ausraubte, vollständige Kompensation von der Versicherung erhalten soll, eine viel geteilte Überzeugung sei.	3
auswählte, nicht bei allen gleich war.	2
beaufsichtigt hat, bei der Prüfung geschummelt hat, viele Menschen teilen.	3
beauftragt hat, kein echtes Zeichen ist.	2
beauftragt hat, seine Waren bereits geliefert hat, verschwunden sei. 	3
beauftragt hatte, dass man keine Plakate aufstellen darf, Blödsinn ist.	3
beauftragte, für diesen Job ungeeignet ist, richtig war. 	3
befoerdert hat, skandaloes ist.	2
befragt hatte, unschuldig sei, gefälscht wurde. 	3
bei der Polizei angezeigt hatte, tatsächlich in sie verliebt war, wieder zeigt, wie unglaublich romantisch ich bin.	3
beim Brandanschlag erwischt hatte, wirklich ein Nazi sei, sie wütend macht.	3
beim Ministerium angeschwärzt hatte, Schulgelder veruntreute, tatsächlich der Wahrheit entsprach.	3
beim Retten des Kindes beobachtet hat, ein 15 Jähriges Mädchen war, sehr überraschend war.	3
beim einbrechen erwischt hatte, gerechtfertigt ist.	2
beim letzten Konzert gesehen hatte, sein Instrument immer zu laut übe, wirklich bescheuert ist.  Annmerkung: Diese Sätze machen sehr wenig Sinn und sind absolut undeutsch.	3
beim rauchen eriwscht hatte, nicht rechtens sei.	2
beim spicken erwischt hatte, keine Unterhose trug, wahr ist.	3
beklaut haben soll, durchaus gerechtfertigt und nicht aus bloßem Selbstverteidigungsreflex gesät worden sei. 	2
beklaut hat, mit dem Dieb unter einer Decke stecke, auf der Wahrheit basiert.	3
beklaute, sehr übertrieben hat, berechtigt ist.	3
beleidigt hat, so unglaublich doof ist, wahr ist.	3
belästigt hatte, einen kurzen Rock trug, zu der Straftat geführt hatte.	3
bemalt hatte, sich entschuldigen sollte.	2
beobachtet hatte, wirklich eine Straftat begangen hatte, wahr war.	3
bereits beobachtete, endlich das Geld überreichen sollte, mit besonderem Nachdruck geschah.	3
beschrieb, mehrere Menschen umgebracht hat, ein großer Fortschritt für die Ermittlungen war.	3
bestochen hat, ungerechtfertigt war.	2
bestochen hatte, für unschuldig erklärt wurde, Hohn sei.	3
bestohlen hat, eindeutig den Dieb erkannt hat, nun in die Zentrale eingegangen ist.	3
bestohlen hatte, alle Bücher zunächst selbst ersetzen muss, nun doch rückgängig gemacht wurde.	3
betreut hat, nie wieder an einem Marathon teilnehmen wird, übertrieben ist.	3
betreut, Drogen nimmt, könnte ihn seine Titel kosten.	3
böse anguckte, sich in die Hose gemacht hat, nicht gerechtfertigt ist.	3
der Korruption bezichtigte, für seine Taten gerade stehen würde, sich als falsch herausstellen wird. 	3
durch alle Prüfungen durchgemogelt hat, einen gefälschten Abschluss hat,  skandalös sei.	3
durch die Klausur hat fallen lassen, betrogen habe, Bestand hat.	3
eben tötete, eigentlich unschuldig ist, nicht ganz unwichtig sei.	3
eingeladen hat, glaubwuerdige Argumente vorbringt.	2
eingeladen hat, wirklich weiss um was es geht. 	2
einstellte, doch nicht geeignet war, berechtigt ist.	3
empfohlen hat, die Ware erhalten hat, bereits entgegengenommen wurde.	3
empfohlen hat, in dem neuen Film spielt, sehr interessant ist.	3
engagiert hat, ein Spion ist, wahr sein könnte.	3
engagiert hat, gestohlen hat, respektlos und illegal sein.	3
engagiert hatte, Messungen durchführen soll, übertrieben gewesen sei.	3
engagiert hatte, gar nicht so falsch war.	2
engagierte, gerne auch schwierige Persönlichkeiten wie Diktatoren und Warlords vertritt, könne man bei seriösen Quellen im Internet nachlesen. 	3
engagierte, ihr überhaupt nicht passte. 	2
entlarvte, nun unter Hausarrest steht, gerechtfertigt ist. 	3
entwischen lassen hat, gemeinsame Sache machten. 	2
erkannt hatte und der Ralf heißt, ganz klar auf der Hand liegt.	2
ermahnte, gespickt habe, falsch sei.	3
ermordet hat, der in der Müllerstraße wohnt, berechtigt ist.	3
ermordet hat, wahr ist.	2
ermordete, erst 10 Jahre alt war, sich für wahr herausstellte.	3
ermordete, nicht wirklich Tod war. 	2
ermordete, ungerechtfertigt war. 	2
erschossen hat, unter Ausschluss der Öffentlichkeit begraben wird, von vielen geteilt wird.	3
erschreckt hatte, Krebs hat, erschütternd ist.	3
erschreckt hatte, daran gestorben ist, wahr ist.	3
erschreckt hatte, sieben war, überraschend ist.	3
erst letzte Woche eingestellt hat, von seinem Unternehmen stiehlt, sehr stark ist.	3
ertappt hat, zur Anzeige gebracht wurde. 	2
erwischt hatte, nett war, ihn weniger schuldig macht.	3
erwähnte, einen Fehler gemacht hat, keinen Hintergrund hat.	3
festgenommen hat, die Tasche gestohlen ist, nicht sicher steht.	3
festgenommen hatte, ergab, dass es sich um einen Jugendlichen handelte.	2
festgenommen hatte, unschuldig sei, wirklich lächerlich wäre.	3
finanziell unterstützt hatte, nur durch private Spenden gewinnen würde, auf Fakten beruhe.	3
forderte, nicht richtig ausgefüllt wurde. 	2
für arbeitsunfähig erklärt hatte, dies auch sei, unbegründet bleiben sollte.	3
für die Rolle vorgeschlagen hat, korrekt ist. 	2
für die Studie beauftragt hatte, ein Schwindler sein könnte, stimmte.	3
für die Verbreitung seiner Produkte ausgewählt hatte, früher illegale Geschäfte verrichtet hat, kein großer Schock war. 	3
für nicht zurechnungsfähig hielt, bei seinem letzten Marathon auf Drogen war, sich schließlich auch bestätigte.	3
für seinen Feldzug beauftragt hatte, dafür nicht geeignet sei, sei richtig.	3
für seinen film angeworben hatte, nicht gut genug sei, Blödsinn ist.	3
für untauglich erklärt hatte, somit nicht am Rennen teilnehmen dürfe, ungerecht sei.	3
gebraucht hätte, wenig Berufserfahrung hat, erst später gekommen ist.	3
gebucht hatte, heute keine Sprechstunde hat.	2
gefangen hat, noch minderjaehrig ist.	2
geheiratet hat auch ein Deutscher war.	2
geheiratet hat, die Aufgabe erledigen soll, gut war.	3
geheiratet hat, ein Mörder ist, nicht wahr ist.	3
geheiratet hat, schon 3 Kindern mit anderen Frauen hat, nicht möglich sein kann.	3
gemeint hatte, korrupt sei, vollkommen verständlich ist.	3
genaustens untersuchen ließ, schuldig sei, von irgendjemandem angezweifelt werden könnte.	3
gerettet hat, eigentlich garnicht in Gefahr war, stimmte.	3
gerettet hat, in das Krankenhaus soll, richtig klingt.	3
gerettet hatte, trug, nicht zu erkennen war.	3
geschlagen hat, entlassen wird, sehr traurig ist. 	3
geschlagen hat, richtig ist.	2
geschlagen hat, weg lief, etwas verfälscht ist.	3
gesehen hat, eine Bombe gezündet hat, eine Lüge ist.	3
gesehen hat, korrupt ist, unbegründet sei.	3
gesehen hat, leine ziehen soll, angebracht sei.	3
gesehen hat, sehr hilfsbereit war.	2
gesehen hat, sich einem Kind angenähert hat, sehr gefährlich sein kann.	3
gesehen hat, wirklich so etwas getan hatte, in irgendeiner Form berechtigt sei. 	3
gesehen hat, zu leiser sein soll, fallen gelassen wurde.	3
gestellt hatte vor Gericht nicht angenommen wurde.	2
gestern gerettet hatte, ein Waisenkind werden würde, der Wahrheit entspricht.	3
gestern getroffen hatte, falsch ist. 	2
getötet hatte, ausgeblutet ist, gestern in der Zeitung stand.	3
gut leiden konnte, nicht falsch sein konnte.	2
hat entwischen lassen, nicht gerechtfertigt war. 	2
heftig umarmte, von sich gab, nicht von Erleichterung zeugte.	3
heiratete, ein schlechter Mensch ist, falsch sei. 	3
heute getroffen hatte, berechtigt sei.	2
ihn umgebracht hat.	1
im Hotel getroffen hatte, und sie zusammen gesehen wurden, höchstwahrscheinlich wahr ist.	2
im Internet gefunden hatte, überhaupt keine Qualifikationen im Bereich der Augen-Ops hatte, sich schließlich auch bestätigte.	3
im Swingerclub gesehen hatte, seine Sachen packen soll, eine Märchengeschichte ist.	3
im Wald zurück ließ, ein bekannter Superstar war, etwas an dem Gerichtsurteil ändern würde.	3
in einem äußerst hässlichen T-Shirt gesehen hatte, unbegründet war.	2
in grellen Farben für ihre letzte Vernissage abgelichtet hatte, sich als schwul herausstellte, nicht sonderlich überraschend war.	3
in seinem Artikel beschrieb, ein Mörder sei, berechigt ist.	3
in seinem Erbe bedacht hatte, das meiste Geld in Bars verprasste, wieder einmal zeigt, wie problematisch geschenktes Geld ist.	3
in seinen Artikeln veredelt, immer macht, geheim sei.	3
ins Amt gehoben hat, alleine für die verlorene Schlacht verantwortlich ist, gerechtfertigt ist.	3
ins Boot geholt hatte, korrupt sei, vermutlich der Wahrheit entspricht.	3
interviewt hat, eigentlich ganz nett ist, sie ziemlich überraschte.	3
jeden Abend beobachtet, wirklich ein Mörder ist, von den meisten Leuten verdrängt wird.	3
kannte, kein wahrer Betrüger sei, hat sich als richtig herausgestellt.	3
kritisiert hatte, entlassen werden solle, nicht gut aufgenommen worden sei.	3
kritisierte, einen Rekord aufgestellt hat, beeindruckend ist.	3
kurz zuvor noch gesehen hatte, ein Massenmörder sei, eine falsche Beschuldigung ist.	3
mehrmals verklagt hatte, seinen Beruf niederlegt, die richtige gewesen sei.	3
meinte, in Herr der Ringe mitgespielt hat, von so jemandem nicht zu erwarten sei. 	3
mit 100.000 Euro bedacht hat, bei der Hauptversammlung gegeben hat, keine Bedeutung hat.	3
mit Geld versorgt, keinen Anspruch auf dieses Geld hätte, einer Verschwörungstheorie gleicht.	3
mit Geld versorgten, nur klassische Lieder spielen sollte, nicht gerecht sei.	3
mit einem Schüler erwischt hat, schwul ist, kein Beleg ist.	3
mit ihrer Aussage in Schutz genommen hatte, nun tatsächlich schuldig sei, auf keinerlei Wahrhaftigkeit beruht.	3
mit seiner Beschwerde gemeint hatte, entlassen werden soll, zu Recht nicht durchgesetzt wird.	3
mit viel Geld unterstützt, doch gar nicht so nett ist, stimmen soll.	3
nach Geld gefragt hat, schwul ist, nichts mit der Nachfrage zu tun hat.	3
nach vorne gerufen hat, nichts weiß, falsch sei.	3
nicht ausstehen kann, sofort umziehen soll, begründet ist.	3
nicht ernstnahm, bald vor das Gericht geht.	2
nicht leiden kann, wichtig sei.	2
nicht leiden konnte, fragwürdig war.	2
nicht leiden konnte, unkollegial sei, von vielen Mitarbeitern geteilt wurde.	3
nicht mag, wahr werden wird.	2
nicht mochte, entdeckt hatte, in Wahrheit ein Hilfeschrei war.	3
nicht namentlich nennen wollte, seine Spende geheim zu halten, unbedingt eingehalten werden muss. 	3
nicht retten konnte, Schuld an der Misere hatte. 	2
noch aus Kindheitstagen kannte, Bestechungsgelder angenommen hatte, ein Schock für sie gewesen sein muss.	3
noch weniger als vierundzwanzig Stunden zuvor gesehen hatte, ebenfalls mit illegalen Machenschaften am Werk war, sich bewahrheitet hatten.	3
ohne Haftbefehl festgenommen hatte, automatisch schuldig sei, typisch für unsere heutige Gesellschaft ist.	3
persönlich kennt, seine Studie verfälscht hat, von einem Freund stammt.	3
rettete, in ein weit entferntes Krankenhaus gebracht wird, falsch sei.	3
sah, eigenartig war. 	2
sah, für spätere Zwecke zu merken sei.	2
schon seit Jahren vertraut, es so gemeint hatte, nötig war.	3
sehr wertschätzt, ein schlechter Händler wäre, absolut falsch sei.	3
seit ihren Schultagen kannte, eine Affäre mit ihrem Mann hatte, leider wahr sei.	3
seit langem beschattet hat, für die Tat verantwortlich sei, völlig falsch war. 	3
seit seiner Kindheit bewundert, eigentlich gar nicht schauspielern könne, gute Argumente liefert.	3
seit zwei Wochen nicht mehr gesehen hatte, tot sein, bestätigt wurde.	3
selbst ausgewählt hatte, ins Exil gehen sollte, vom Kommandanten selbst ausging.	3
so sehr mag, die Gemeinde verlassen muss, nicht von Gott gefällt wurde.	3
so unfreundlich angekeift hatte, aus Emotionalität heraus gehandelt hatte, sei nur so dahingestellt.	3
stark kritisiert hatte, die Kritik auch verdient habe, nicht gerechtfertigt sei.	3
tot aus dem See fischte, von seiner Mutter ertränkt worden sein soll, erfunden wurde.	3
töten sollte, nicht echt sei.	2
ueberfallen hat, an einem Herzanfall gestorben ist.	2
um eine Fahrt gebeten hatte, ein verkleideter Star war, völlig offensichtlich wäre.	3
umgebracht hat, seinen Sohn missbraucht hat, wahr ist.	3
unsympathisch fand, nicht gerechtfertigt sei.	2
unterstützen, schon Millionen verdient hat, wahr ist.	3
unterstützen, welcher weltbekannt ist, die jeder hat, stimmt.	3
unterstützt hatte, Alkoholiker war, allgemein bekannt ist.	3
unterstützt hatte, korrupt war.	2
unterstützte, dies nur machte um Steuern zu sparen. 	2
untersucht hat, wahr ist.	2
verabscheute, das UFOs existieren, falsch ist. 	3
verabscheute, gefeuert werden solle, absolut schrecklich sei.	3
vergewaltigt hatte, nun traumatisiert sei, begründet ist.	3
verhaftet hat, die Tat wirklich begangen hatte, unbegründet war.	3
verhaftet hatte, falsch war. 	2
verhaftet hatte, nicht vollständig sei.	2
verklagte, bereits mehrmals verklagt wurde, kein Geheimnis mehr war.	3
versucht hat abzuwimmeln, ihn ertrinken wollte, respektlos sei.	3
versuchte zu schmieren, äußerst loyal ist, sich leider als Fehlannahme entpuppte.	3
verteidigte, namens Peter, welche unberechtigt ist, es sei völlig verständlich.	3
von einer TV Show gestalkt haben soll, gerechtfertigt ist.	2
vor Gericht verteidigt, eigentlich ein ehemaliger Star sei, weit verbreitet ist.	3
vor dem ganzen Team angeschrien hatte, arm dran sei, vom ganzen Team geteilt wurde.	3
vorgestellt hatte einen guten ersten Eindruck macht. 	2
zeigte nicht jugendfrei war. 	1
zu Gericht gab, verworfen wurde. 	2
zu ermorden versuchte, eigentlich ein netter Typ ist, doch irgendwie bahnbrechend in diesem Kontext sei.	3
zu erwürgen versuchte, bald herauskommen würde.	2
zu streng fand, die Richtige sei. 	2
zuletzt gesehen hatte, unterbezahlt ist.	2
zuletzt untersuchte, Platz machen sollte, durch seinen Trainer gebrüllt wurde.	3
zum Gespräch eingeladen hatte, besorgniserregende Aussagen traf, gerechtfertigt ist.	3
zum Kommandanten ernannt hatte, falsch war. 	2
zum überleben brauchte, welches er gezeigt hatte, das Zeichen für "Hilfe" gewesen sei.	3
zur Welt brachte, nicht mehr aktuell war. 	2
zur Zusammenarbeit gezwungen hatte, sich davon in seinem Freiheitsrecht eingeschränkt gefühlt hatte, nicht ohne Grund entstanden sein kann.	3
zusammengeschlagen hat, schwerer verletzt ist als man dachte, erst übertieben war.	3
ächten will, buße tat, gerechtfertigt ist.	3
überführt hatte, spurlos verschwand, sicherlich nicht der Wahrheit entsprach.	3
übergangen hatte, genau deswegen so gut beim letzten Konzert spielte, sicherlich falsch sei.	3
als seinen alten Mitschüler wiedererkannt hatte, sich in der Situation professionell verhalten hat, der Wahrheit entsprach.	3
anfuhr, sich bewahrheitete. 	2
angegriffen hatte, abgewiesen wurde.	2
angerufen hat, korrupt ist, falsch ist.	3
angerufen hatte, zu viel Geld verlangte, falsch sei.	3
angesprochen hatte, nicht gerechtfertigt ist.	2
angespuckt hat, berechtig ist.	2
angestellt hat, ein Genie ist, euch helfen wird.	3
angezeigt hat, auf Tatsachen beruht.	2
angezeigt hat, drogenabhängig ist, nicht stimmt.	3
angezeigt hat, nach zwei Monaten auf Kaution freikommen solle, gerechtfertigt sei.	3
angezeigt hat, vom Gericht befürwortet wird.	2
anheuerte, am richtigen Posten sitzt, falsch ist.	3
anheuerte, berechtigt sei.	2
anrief, richtig ist.	2
anrief, wirklich vertrauenswürdig ist.	2
anspuckte, wirklich nicht gerechtfertigt war. 	2
