workerid	condition	item	rt	correct	word	wordInItem	Region	RegionFine	sentence	noun	Continuation	trial	distractor_condition
0	filler	Filler_53	1102	yes	chef	11	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1464	yes	because	12	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1183	yes	he	13	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1375	yes	had	14	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	5824	yes	instituted	15	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1574	yes	a	16	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	2360	yes	new	17	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	2540	no	dress	18	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1038	yes	code	19	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1143	yes	for	20	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1151	yes	all	21	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1687	yes	employees.	22	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_38	1454	yes	During	0	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	871	yes	the	1	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	1143	yes	party	2	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	1231	yes	everybody	3	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	791	yes	was	4	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	1423	yes	dancing	5	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	831	yes	to	6	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	1095	yes	rock	7	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_38	1079	yes	music.	8	NA	NA	During the party everybody was dancing to rock music.	NA	NA	15	NA
0	filler	Filler_2	706	yes	The	0	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	1271	yes	showman	1	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	1079	yes	travels	2	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	759	yes	to	3	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	1055	yes	different	4	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	1183	yes	cities	5	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	767	yes	every	6	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_2	991	yes	month.	7	NA	NA	The showman travels to different cities every month.	NA	NA	17	NA
0	filler	Filler_30	973	yes	The	0	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	2367	yes	technician	1	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	2646	yes	at	2	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1014	yes	the	3	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	2304	yes	show	4	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	2079	yes	repaired	5	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1159	yes	the	6	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1295	yes	robot	7	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1070	yes	while	8	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	935	yes	people	9	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1223	yes	were	10	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1199	yes	taking	11	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	3255	yes	a	12	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1095	yes	break	13	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1167	yes	for	14	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_30	1103	yes	coffee.	15	NA	NA	The technician at the show repaired the robot while people were taking a break for coffee.	NA	NA	9	NA
0	filler	Filler_21	2834	yes	The	0	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1510	yes	audience	1	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	983	yes	who	2	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	783	yes	was	3	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1015	yes	at	4	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	838	yes	the	5	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1262	yes	club	6	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1719	yes	booed	7	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	647	yes	the	8	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1199	yes	singer	9	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	4286	yes	before	10	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	887	yes	the	11	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1350	yes	owner	12	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	975	yes	of	13	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	783	yes	the	14	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	911	yes	bar	15	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	991	yes	could	16	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1431	yes	remove	17	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	911	yes	him	18	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1374	yes	from	19	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	919	yes	the	20	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Filler_21	1112	yes	stage.	21	NA	NA	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	NA	NA	33	NA
0	filler	Practice_3	1158	yes	The	0	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1447	yes	therapist	1	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1439	yes	set	2	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	3654	yes	up	3	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1400	yes	a	4	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1511	yes	meeting	5	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	999	yes	with	6	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1143	yes	the	7	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1503	no	upset	8	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1120	yes	woman	9	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1063	yes	and	10	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1063	yes	her	11	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	1295	yes	husband	12	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Practice_3	2559	yes	yesterday.	13	NA	NA	The therapist set up a meeting with the upset woman and her husband yesterday.	NA	NA	6	NA
0	filler	Filler_35	1619	yes	Yesterday	0	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	1335	yes	the	1	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	2326	yes	swimmer	2	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	2405	yes	saw	3	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	1407	yes	only	4	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	815	yes	a	5	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	2135	yes	turtle	6	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	1038	yes	at	7	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	855	yes	the	8	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_35	1095	yes	beach.	9	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	12	NA
0	filler	Filler_11	707	yes	The	0	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_11	1055	yes	citizens	1	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_11	846	yes	of	2	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_11	1350	yes	France	3	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_11	2695	yes	eat	4	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_11	1327	yes	oysters.	5	NA	NA	The citizens of France eat oysters.	NA	NA	40	NA
0	filler	Filler_22	740	yes	The	0	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	2695	yes	defender	1	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	766	yes	is	2	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	1551	yes	constantly	3	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	2559	yes	scolding	4	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	711	yes	the	5	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_22	1214	yes	keeper.	6	NA	NA	The defender is constantly scolding the keeper.	NA	NA	43	NA
0	filler	Filler_52	1644	yes	Dinosaurs	0	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	1246	yes	ate	1	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	1375	yes	other	2	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	1271	yes	reptiles	3	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	975	yes	during	4	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	951	yes	the	5	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	1246	yes	stone	6	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_52	774	yes	age.	7	NA	NA	Dinosaurs ate other reptiles during the stone age.	NA	NA	47	NA
0	filler	Filler_45	739	yes	The	0	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1168	yes	passer-by	1	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1799	yes	threw	2	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	926	yes	the	3	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	2063	yes	cardboard	4	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	775	yes	box	5	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	887	yes	into	6	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	895	yes	the	7	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1318	yes	trash-can	8	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1359	yes	with	9	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1023	yes	great	10	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_45	1439	yes	force.	11	NA	NA	The passer-by threw the cardboard box into the trash-can with great force.	NA	NA	22	NA
0	filler	Filler_3	818	yes	The	0	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	1760	yes	roommate	1	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	1359	yes	takes	2	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	983	yes	out	3	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	807	yes	the	4	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	1303	yes	garbage	5	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	959	yes	every	6	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_3	783	yes	week.	7	NA	NA	The roommate takes out the garbage every week.	NA	NA	23	NA
0	filler	Filler_55	628	yes	The	0	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1655	yes	cook	1	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	943	yes	who	2	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1230	yes	the	3	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1000	yes	servant	4	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1471	yes	in	5	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1183	yes	the	6	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1375	yes	kitchen	7	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1679	yes	hired	8	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	2703	no	offended	9	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1087	yes	the	10	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1135	yes	butler	11	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	854	yes	and	12	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1671	yes	then	13	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1680	yes	left	14	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1318	yes	the	15	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1478	yes	mansion	16	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1319	yes	early	17	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	974	yes	to	18	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	967	yes	see	19	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1159	yes	a	20	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1054	yes	movie	21	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	896	yes	at	22	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	2191	yes	the	23	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	943	yes	local	24	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_55	1247	yes	theater.	25	NA	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	NA	NA	24	NA
0	filler	Filler_25	690	yes	The	0	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1208	yes	trainee	1	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1175	no	knew	2	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1119	yes	that	3	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	710	yes	the	4	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1223	yes	task	5	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	998	yes	which	6	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1174	yes	the	7	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	2417	yes	director	8	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	821	yes	had	9	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	798	yes	set	10	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1535	yes	for	11	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	711	yes	him	12	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	879	yes	was	13	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1838	yes	impossible	14	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1206	yes	to	15	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	1007	yes	finish	16	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	967	yes	within	17	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	702	yes	a	18	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_25	863	yes	week.	19	NA	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	NA	NA	27	NA
0	filler	Filler_46	825	yes	The	0	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1272	yes	biker	1	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1343	no	who	2	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1183	yes	the	3	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	919	yes	police	4	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1511	yes	arrested	5	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1575	yes	ran	6	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	775	yes	a	7	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	1222	yes	light	8	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
0	filler	Filler_46	2151	yes	since	9	NA	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	NA	NA	28	NA
